"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","scenario"
"IMDS","Hausdorff",40,0.614642310368824,-0.0431468336812805,0.598603902651056,-0.0763511756041074,0.196833333333333,-0.01275,1,"I"
"Int-UMAP","Hausdorff",5,0.905545662100457,-0.00843835616438349,0.908906661416935,-0.00416779453863883,0.246666666666667,0.0286666666666667,1,"I"
"Int-UMAP","Hausdorff",10,0.90290158172232,-0.00934856473345047,0.903369252221768,-0.00514824198249789,0.285333333333333,0.018,1,"I"
"Int-UMAP","Hausdorff",20,0.907058750773036,-0.0131935683364255,0.89844826125658,-0.00679852406352897,0.378833333333333,0.0166666666666667,1,"I"
"Int-UMAP","Hausdorff",40,0.922912317327766,-0.01592832289492,0.89386893475028,-0.00839085313040315,0.531916666666667,0.0126666666666667,1,"I"
"C-PCA","Ichino-Yaguchi",5,0.922001141552511,0.077920091324201,0.919775081821985,0.0834900870307027,0.243333333333333,0.0506666666666667,1,"I"
"C-PCA","Ichino-Yaguchi",10,0.923912712360867,0.0647978910369069,0.917377016916128,0.0766947161606444,0.342333333333333,0.0713333333333333,1,"I"
"C-PCA","Ichino-Yaguchi",20,0.92660791589363,0.0478379715522573,0.913424782657337,0.069231538855666,0.463833333333333,0.0993333333333334,1,"I"
"C-PCA","Ichino-Yaguchi",40,0.926408489909534,0.0212247738343772,0.905929020120153,0.0598000843639143,0.583833333333333,0.125916666666667,1,"I"
"V-PCA","Ichino-Yaguchi",5,0.921224885844749,0.0792077625570776,0.918798713815816,0.085118980239683,0.239333333333333,0.0526666666666667,1,"I"
"V-PCA","Ichino-Yaguchi",10,0.923791446983011,0.0646514352665496,0.916776010720553,0.0775461705171586,0.340333333333333,0.075,1,"I"
"V-PCA","Ichino-Yaguchi",20,0.925929189857761,0.0484211502782932,0.9127285260139,0.0701260802572425,0.460333333333333,0.0981666666666667,1,"I"
"V-PCA","Ichino-Yaguchi",40,0.926180758524704,0.0201102992345163,0.905355654850632,0.0602030308955872,0.584833333333333,0.12925,1,"I"
"MR-PCA","Ichino-Yaguchi",5,0.721615296803653,0.29063698630137,0.733566823338337,0.292853557103133,0.0866666666666667,0.0186666666666667,1,"I"
"MR-PCA","Ichino-Yaguchi",10,0.711557703573521,0.260146455770357,0.723986169915363,0.27798603527902,0.129666666666667,0.0243333333333333,1,"I"
"MR-PCA","Ichino-Yaguchi",20,0.705947433518862,0.224226345083488,0.714367280898347,0.261240271219356,0.193666666666667,0.042,1,"I"
"MR-PCA","Ichino-Yaguchi",40,0.697806193458594,0.1916416144746,0.701996599064131,0.244705396884323,0.2955,0.0599166666666667,1,"I"
"SPCA","Ichino-Yaguchi",5,0.922001141552511,0.077920091324201,0.919775081821985,0.0834900870307027,0.243333333333333,0.0506666666666667,1,"I"
"SPCA","Ichino-Yaguchi",10,0.923912712360867,0.0647978910369069,0.917377016916128,0.0766947161606444,0.342333333333333,0.0713333333333333,1,"I"
"SPCA","Ichino-Yaguchi",20,0.92660791589363,0.0478379715522573,0.913424782657337,0.069231538855666,0.463833333333333,0.0993333333333334,1,"I"
"SPCA","Ichino-Yaguchi",40,0.926408489909534,0.0212247738343772,0.905929020120153,0.0598000843639143,0.583833333333333,0.125916666666667,1,"I"
"IMDS","Ichino-Yaguchi",5,0.602881278538813,-0.0795753424657535,0.604141094733043,-0.0935973784154014,0.0333333333333333,-0.00266666666666667,1,"I"
"IMDS","Ichino-Yaguchi",10,0.594813122437024,-0.0672618629173989,0.598300283718843,-0.0847153930483126,0.0613333333333333,-0.00866666666666667,1,"I"
"IMDS","Ichino-Yaguchi",20,0.595069882498454,-0.0513172541743971,0.592923627683062,-0.0758852609719425,0.107,-0.0138333333333333,1,"I"
"IMDS","Ichino-Yaguchi",40,0.59980375782881,-0.0386102992345164,0.586367497566432,-0.0685413406443496,0.176916666666667,-0.0105,1,"I"
"Int-UMAP","Ichino-Yaguchi",5,0.882151826484018,0.0250616438356164,0.88903757659276,0.026245211670809,0.253333333333333,0.022,1,"I"
"Int-UMAP","Ichino-Yaguchi",10,0.874869947275923,0.0236801405975395,0.88081293562034,0.0256186447846532,0.291666666666667,0.0153333333333333,1,"I"
"Int-UMAP","Ichino-Yaguchi",20,0.867993815708102,0.00891651205936916,0.871700746603338,0.0204471737956864,0.3695,0.023,1,"I"
"Int-UMAP","Ichino-Yaguchi",40,0.865108559498956,-0.00402087682672225,0.86091148668927,0.0156124810190651,0.464416666666667,0.0333333333333333,1,"I"
