"Method","Metric","Q_TC.mean","Q_TC.sd","Q_TC.mcse","B_TC.mean","B_TC.sd","B_TC.mcse","Q_RE.mean","Q_RE.sd","Q_RE.mcse","B_RE.mean","B_RE.sd","B_RE.mcse","Q_LC.mean","Q_LC.sd","Q_LC.mcse","B_LC.mean","B_LC.sd","B_LC.mcse"
"C-PCA","Centers-Euclidean",0.91731520235819,0.00317468363215187,0.000317468363215187,0.119529477374124,0.00551301567298829,0.000551301567298829,0.919659214809245,0.00359975307271001,0.000359975307271001,0.126498293161669,0.0065729058038856,0.00065729058038856,0.357095,0.0130430174051215,0.00130430174051215,0.09512625,0.00817442224119067,0.000817442224119067
"IMDS","Centers-Euclidean",0.607634434353091,0.0196380046134325,0.00196380046134325,-0.0665028744423199,0.0210075331660498,0.00210075331660498,0.616534468514134,0.0196782196914703,0.00196782196914703,-0.0814129179531784,0.0230740520415502,0.00230740520415502,0.0512225,0.00579074224146359,0.000579074224146359,-0.0043025,0.00312503434324563,0.000312503434324563
"Int-UMAP","Centers-Euclidean",0.851553383524538,0.0458836257693276,0.00458836257693276,0.0229772163798598,0.0188586077433115,0.00188586077433115,0.908633348941857,0.0300342988115515,0.00300342988115515,0.0152686728082301,0.0125102322860605,0.00125102322860605,0.511215,0.0431276883220049,0.00431276883220049,-0.0318,0.00855567033899127,0.000855567033899127
"MR-PCA","Centers-Euclidean",0.914341925589548,0.00310056411988178,0.000310056411988178,0.123303809751434,0.005880281570679,0.0005880281570679,0.916988809101918,0.00330980601517135,0.000330980601517135,0.130378339290141,0.0064317120671399,0.00064317120671399,0.34923625,0.00727978241485113,0.000727978241485113,0.09480125,0.00717760561828359,0.000717760561828359
"SPCA","Centers-Euclidean",0.9145117152645,0.00306482446728632,0.000306482446728632,0.122967159018483,0.00581050921433698,0.000581050921433698,0.917256257465734,0.00332536201091904,0.000332536201091904,0.129842672877492,0.00645823982490641,0.000645823982490641,0.34891375,0.00711327661698868,0.000711327661698868,0.09448125,0.00721108887163696,0.000721108887163696
"V-PCA","Centers-Euclidean",0.917311377469726,0.0031769296906716,0.00031769296906716,0.119541556724028,0.00551678256444471,0.000551678256444471,0.919668147710781,0.00359242765159504,0.000359242765159504,0.12648322526251,0.00655429123362785,0.000655429123362785,0.357105,0.0130947850866155,0.00130947850866155,0.09510125,0.00818918307166918,0.000818918307166918
"C-PCA","Hausdorff",0.916692684034417,0.00321042770801129,0.000321042770801129,0.119584835882728,0.00551261586965287,0.000551261586965287,0.91909682795745,0.00356773482458068,0.000356773482458069,0.12664551919246,0.00647919472154799,0.000647919472154799,0.3548975,0.0128448563478133,0.00128448563478133,0.08991,0.00772807831510812,0.000772807831510812
"IMDS","Hausdorff",0.614675237412365,0.0200772768937924,0.00200772768937924,-0.0213808285532186,0.0174233323273448,0.00174233323273448,0.625080190934078,0.0202523001351969,0.00202523001351969,-0.0368585188678151,0.0177745873439153,0.00177745873439153,0.05116875,0.00548941172608549,0.000548941172608549,-0.00196375,0.00266893221706602,0.000266893221706602
"Int-UMAP","Hausdorff",0.850595179254302,0.0463677765951304,0.00463677765951304,0.0220636408540472,0.0194942569906541,0.00194942569906541,0.907502096764618,0.0305775957138497,0.00305775957138497,0.0138536156843799,0.0131624821441585,0.00131624821441585,0.50800875,0.0421686962583477,0.00421686962583477,-0.03431875,0.00833453353099578,0.000833453353099578
"MR-PCA","Hausdorff",0.913938553218611,0.00310012300142806,0.000310012300142806,0.123323540471638,0.00586471490290963,0.000586471490290963,0.916527173522433,0.00329995229033969,0.000329995229033969,0.130595271313446,0.00641223518407208,0.000641223518407208,0.3471775,0.00719914636143295,0.000719914636143295,0.093615,0.00695772497794264,0.000695772497794264
"SPCA","Hausdorff",0.914012748565966,0.00306384795085041,0.000306384795085041,0.122882504780115,0.00580324723221565,0.000580324723221565,0.916771538011442,0.00335156832947152,0.000335156832947152,0.129921257282983,0.00649518018883102,0.000649518018883102,0.3471975,0.00691084959840085,0.000691084959840085,0.0906175,0.00708078875863731,0.000708078875863731
"V-PCA","Hausdorff",0.916695869980879,0.00320884888040643,0.000320884888040643,0.119583326959847,0.0055101059846168,0.00055101059846168,0.919093624482474,0.00357697977311299,0.000357697977311299,0.126654686813615,0.00649736851328617,0.000649736851328617,0.35491625,0.0128772744264476,0.00128772744264476,0.08994,0.00778676275755363,0.000778676275755363
"C-PCA","Ichino-Yaguchi",0.917322050669216,0.00317213725871072,0.000317213725871072,0.119537944550669,0.00551059728686581,0.000551059728686581,0.919665179670863,0.00358338549613614,0.000358338549613614,0.126515128492944,0.00654352218708858,0.000654352218708858,0.35713375,0.0130441443454351,0.00130441443454351,0.0954275,0.00812279845853508,0.000812279845853508
"IMDS","Ichino-Yaguchi",0.622295913001912,0.020983556122894,0.0020983556122894,-0.0185638782664117,0.0199953330024935,0.00199953330024935,0.631598479284709,0.0207205075811366,0.00207205075811365,-0.0312768243474125,0.0198563712778429,0.00198563712778429,0.05235,0.00561813554212578,0.000561813554212578,-0.00169,0.0025422863129415,0.00025422863129415
"Int-UMAP","Ichino-Yaguchi",0.852252762109624,0.0453355479829822,0.00453355479829822,0.0224902852135118,0.0189326664488634,0.00189326664488634,0.909569997919574,0.029439804985044,0.0029439804985044,0.0143909611984822,0.0124878087406304,0.00124878087406304,0.512675,0.0424685303870092,0.00424685303870092,-0.0342425,0.00849225025502307,0.000849225025502307
"MR-PCA","Ichino-Yaguchi",0.914330497928617,0.0030919767780092,0.00030919767780092,0.123292936583811,0.0058677785870002,0.00058677785870002,0.916908769022162,0.00328895499384474,0.000328895499384474,0.130466243902664,0.00640651451711471,0.000640651451711471,0.34892625,0.00727039310119883,0.000727039310119883,0.09511125,0.00737819642681233,0.000737819642681233
"SPCA","Ichino-Yaguchi",0.914516994104525,0.0030660911190895,0.00030660911190895,0.122978389101338,0.00581556416264557,0.000581556416264557,0.917254878765728,0.00332767198721369,0.000332767198721369,0.129873019081146,0.00646599882813998,0.000646599882813998,0.34893375,0.00710734466373989,0.000710734466373989,0.09478125,0.00717222245450242,0.000717222245450242
"V-PCA","Ichino-Yaguchi",0.917318070427024,0.00317539328425505,0.000317539328425505,0.119550407903123,0.00551481768513513,0.000551481768513513,0.919674220090916,0.00358545111296819,0.000358545111296819,0.126499904740982,0.00654309223952527,0.000654309223952527,0.35714125,0.013089576475601,0.0013089576475601,0.09539375,0.00811953730504268,0.000811953730504268
"C-PCA","Int-Euclidean",0.917705039037604,0.00315547434797726,0.000315547434797726,0.119955368068834,0.00548590042889844,0.000548590042889844,0.919986139101751,0.00357787474601715,0.000357787474601715,0.126965778843495,0.0065687283942796,0.00065687283942796,0.3589075,0.01359409570848,0.001359409570848,0.10516,0.00848038958867796,0.000848038958867796
"IMDS","Int-Euclidean",0.578335633365201,0.0164536026085924,0.00164536026085924,-0.0641117415551307,0.0223683428319729,0.00223683428319729,0.584379510262111,0.0163987067892845,0.00163987067892845,-0.0763528146756933,0.0228867242936786,0.00228867242936786,0.039105,0.00429678350453551,0.000429678350453551,-0.00213125,0.00219894193737338,0.000219894193737338
"Int-UMAP","Int-Euclidean",0.851933277565328,0.0458204262610913,0.00458204262610913,0.0234794263862333,0.0188437625567124,0.00188437625567124,0.908523274817201,0.0302663121061572,0.00302663121061572,0.0168947952145432,0.0122649198624792,0.00122649198624792,0.51262625,0.0435639822291781,0.0043563982229178,-0.02627125,0.00890219469520939,0.000890219469520939
"MR-PCA","Int-Euclidean",0.914860600701084,0.00312682589994063,0.000312682589994063,0.123860003186743,0.00592805485854033,0.000592805485854033,0.917459937780642,0.00332701608080351,0.000332701608080351,0.130909596624729,0.00646316659206934,0.000646316659206934,0.35277875,0.0073029426881611,0.00073029426881611,0.10722125,0.007008424201299,0.0007008424201299
"SPCA","Int-Euclidean",0.914855219885277,0.00308138218538244,0.000308138218538244,0.123393065646909,0.00584935474908329,0.000584935474908329,0.917553907759647,0.00336177744579792,0.000336177744579792,0.13029221431379,0.00654932219883819,0.000654932219883819,0.35025375,0.00721885628392613,0.000721885628392613,0.103,0.00711501382410265,0.000711501382410264
"V-PCA","Int-Euclidean",0.917706400573614,0.00316389634731523,0.000316389634731523,0.119957441045252,0.00550273058500127,0.000550273058500127,0.919981107585945,0.00358276172132331,0.000358276172132331,0.126979078988536,0.00657814765186485,0.000657814765186485,0.3589225,0.0136165908625166,0.00136165908625166,0.10518,0.00849105143933627,0.000849105143933627
"C-PCA","Wasserstein",0.917313683078394,0.00317101268174075,0.000317101268174075,0.11952853250478,0.00550656181243416,0.000550656181243416,0.919654921713426,0.00358161226804646,0.000358161226804646,0.126505680187046,0.0065383846833929,0.00065383846833929,0.357085,0.01304674095301,0.001304674095301,0.095135,0.0082347134164162,0.00082347134164162
"IMDS","Wasserstein",0.613679823932441,0.0202816572182398,0.00202816572182397,-0.0392874745060548,0.021191198904705,0.0021191198904705,0.622921044605513,0.0198471205007087,0.00198471205007087,-0.0531953317110448,0.0208207690917203,0.00208207690917203,0.05229625,0.00577253639676877,0.000577253639676877,-0.00176125,0.00263978490237521,0.000263978490237521
"Int-UMAP","Wasserstein",0.851659669375398,0.0457525120833446,0.00457525120833446,0.0225316746335245,0.0190926898293907,0.00190926898293907,0.908860122393902,0.0298740942310469,0.00298740942310469,0.0145620501281948,0.0127217670839043,0.00127217670839043,0.5115375,0.042677165271443,0.0042677165271443,-0.0337375,0.00859343146792592,0.000859343146792592
"MR-PCA","Wasserstein",0.914340437380497,0.00309395352159991,0.000309395352159991,0.123303781070746,0.00586922147636079,0.000586922147636079,0.916957024856225,0.0032982876915817,0.00032982876915817,0.130437820367649,0.00641083680788788,0.000641083680788788,0.3492575,0.00721785848161392,0.000721785848161392,0.09517375,0.00710013370819469,0.000710013370819469
"SPCA","Wasserstein",0.914514394518802,0.00306613833127758,0.000306613833127758,0.122958897386871,0.0058156624633852,0.00058156624633852,0.91725136286864,0.00333227217540217,0.000333227217540217,0.129852621647755,0.00647193070859827,0.000647193070859827,0.34891,0.00706300737875328,0.000706300737875328,0.094485,0.00729678997500914,0.000729678997500914
"V-PCA","Wasserstein",0.917311985340981,0.00317852664174187,0.000317852664174187,0.119536663479924,0.00551881219723575,0.000551881219723575,0.919666249003502,0.00358246752582051,0.000358246752582051,0.126485998995015,0.00653151129309516,0.000653151129309516,0.35711,0.0130726925460687,0.00130726925460687,0.09508625,0.00819120646307411,0.000819120646307411
