"arm","par","Method","endpoint","exceptional","tie_affected","tie_spread","max_abs_diff_vs_adjacent_cell","val_Q_TC","val_B_TC","val_Q_RE","val_B_RE","val_Q_LC","val_B_LC"
"Face","lambda","C-PCA",0,TRUE,TRUE,0.214814814814815,NA,0.968654970760234,0.0115243664717349,0.893631369317401,0.00800256375040059,0.758074074074074,-0.00162962962962963
"Face","lambda","C-PCA",1,FALSE,FALSE,0,0,0.979922027290448,0.00116959064327482,0.954945520303987,0.00440644600100719,0.807407407407407,0.0444444444444445
"Face","lambda","V-PCA",0,TRUE,TRUE,0.244444444444444,NA,0.970249512670565,0.0117504873294347,0.8965020830472,0.00919516549924461,0.76637037037037,-0.00281481481481481
"Face","lambda","V-PCA",1,FALSE,FALSE,0,0,0.979922027290448,0.00116959064327482,0.954853957789681,0.00447511788673717,0.807407407407407,0.037037037037037
"Face","lambda","MR-PCA",0,TRUE,TRUE,0.0666666666666667,NA,0.97056530214425,0.019103313840156,0.920101405484595,0.0206597079155794,0.814814814814815,0.00355555555555556
"Face","lambda","MR-PCA",1,FALSE,FALSE,0,0,0.957699805068226,0.0167641325536062,0.924174792839811,0.0232339880053106,0.733333333333333,0.0518518518518519
"Face","lambda","SPCA",0,TRUE,TRUE,0.214814814814815,NA,0.968654970760234,0.0115243664717349,0.893631369317401,0.00800256375040059,0.758074074074074,-0.00162962962962963
"Face","lambda","SPCA",1,FALSE,FALSE,0,0,0.979922027290448,0.00116959064327482,0.954945520303987,0.00440644600100719,0.807407407407407,0.0444444444444445
"Face","lambda","IMDS",0,TRUE,TRUE,0.17037037037037,NA,0.609766081871345,-0.0325224171539961,0.582079842512475,-0.0320560362587557,0.247407407407407,0.0106666666666667
"Face","lambda","IMDS",1,FALSE,FALSE,0,0,0.535672514619883,0.056140350877193,0.530015336721146,0.0432060614384472,0.185185185185185,-0.0074074074074074
"Face","lambda","Int-UMAP",0,TRUE,TRUE,0.185185185185185,NA,0.672849902534113,0.0956101364522417,0.638824795128874,0.0918802362312869,0.294074074074074,0.00948148148148148
"Face","lambda","Int-UMAP",1,FALSE,FALSE,0,0,0.740545808966862,0.0643274853801169,0.777754887149201,0.0522364144119398,0.466666666666667,0.037037037037037
"Face","nu","C-PCA",0,FALSE,FALSE,0,0,0.966861598440546,0.00857699805068235,0.944885089044545,0.0192395733186833,0.755555555555556,0.0740740740740741
"Face","nu","C-PCA",0.5,FALSE,FALSE,0,0,0.979337231968811,-0.000779727095516547,0.956221672847136,0.00830929817332783,0.814814814814815,0.0740740740740741
"Face","nu","V-PCA",0,FALSE,FALSE,0,0,0.968421052631579,0.0062378167641326,0.947191319873644,0.0158403149750492,0.762962962962963,0.0814814814814815
"Face","nu","V-PCA",0.5,FALSE,FALSE,0,0,0.97953216374269,-0.000389863547758273,0.95516870393261,0.0107585954310305,0.814814814814815,0.0814814814814815
"Face","nu","MR-PCA",0,TRUE,TRUE,0.00174541042897036,NA,0.965107212475633,0.00896686159844051,0.933617749393398,0.0195085382044591,0.77037037037037,0.0444444444444444
"Face","nu","MR-PCA",0.5,FALSE,FALSE,0,0,0.98187134502924,0.00194931773879148,0.952547726960582,0.0159089868607792,0.837037037037037,0.0962962962962963
"Face","nu","SPCA",0,FALSE,FALSE,0,0,0.966861598440546,0.00857699805068235,0.944885089044545,0.0192395733186833,0.755555555555556,0.0740740740740741
"Face","nu","SPCA",0.5,FALSE,FALSE,0,0,0.979337231968811,-0.000779727095516547,0.956221672847136,0.00830929817332783,0.814814814814815,0.0740740740740741
"Face","nu","IMDS",0,FALSE,FALSE,0,0,0.562378167641326,0.058869395711501,0.557547040241725,0.0417525065238292,0.259259259259259,0.0518518518518519
"Face","nu","IMDS",0.5,FALSE,FALSE,0,0,0.562573099415205,0.0428849902534113,0.556557020555784,0.0451517648674633,0.22962962962963,0.0148148148148148
"Face","nu","Int-UMAP",0,FALSE,FALSE,0,0,0.773294346978557,-0.0409356725146199,0.866610584626654,-0.0141578537746647,0.525925925925926,-0.0148148148148148
"Face","nu","Int-UMAP",0.5,FALSE,FALSE,0,0,0.783040935672515,-0.0152046783625731,0.869775214027377,-0.00535640708693863,0.555555555555556,0
