"Method","gain.mean","gain.sd"
"C-PCA",0.0132840262741652,0.00312627303966853
"IMDS",0.000725252460456942,0.00395306975084489
"Int-UMAP",0.00441499812536614,0.00374356365790276
"MR-PCA",0.00147055787932044,0.00166600849844382
"SPCA",0.0132842951376684,0.00312656072660056
"V-PCA",0.0132943595782074,0.00309366790294776
