"IDR","Metric","col","frac","cp_lo","cp_hi","qc"
"IMDS","Ichino-Yaguchi","Q_TC",1,0.862814828469287,1,0.0895163194034124
"IMDS","Ichino-Yaguchi","B_TC",0.92,0.739694157894786,0.990160409981202,NA
"IMDS","Ichino-Yaguchi","Q_RE",1,0.862814828469287,1,0.0994301208094265
"IMDS","Ichino-Yaguchi","B_RE",0.96,0.796483086077586,0.998987800300689,NA
"IMDS","Ichino-Yaguchi","Q_LC",1,0.862814828469287,1,0.0232185921568627
"IMDS","Ichino-Yaguchi","B_LC",0,0,0.137185171530713,NA
"Int-UMAP","Ichino-Yaguchi","Q_TC",1,0.862814828469287,1,0.616937304116454
"Int-UMAP","Ichino-Yaguchi","B_TC",0.44,0.244023665147208,0.650718366008664,NA
"Int-UMAP","Ichino-Yaguchi","Q_RE",1,0.862814828469287,1,0.675625029812645
"Int-UMAP","Ichino-Yaguchi","B_RE",0.32,0.14949542261357,0.535000717497372,NA
"Int-UMAP","Ichino-Yaguchi","Q_LC",1,0.862814828469287,1,0.295494682583622
"Int-UMAP","Ichino-Yaguchi","B_LC",0.56,0.349281633991336,0.755976334852792,NA
"MR-PCA","Ichino-Yaguchi","Q_TC",1,0.862814828469287,1,0.802425913074812
"MR-PCA","Ichino-Yaguchi","B_TC",1,0.862814828469287,1,NA
"MR-PCA","Ichino-Yaguchi","Q_RE",1,0.862814828469287,1,0.798040054905044
"MR-PCA","Ichino-Yaguchi","B_RE",1,0.862814828469287,1,NA
"MR-PCA","Ichino-Yaguchi","Q_LC",1,0.862814828469287,1,0.283500333794694
"MR-PCA","Ichino-Yaguchi","B_LC",1,0.862814828469287,1,NA
"SPCA","Ichino-Yaguchi","Q_TC",1,0.862814828469287,1,0.813998704566679
"SPCA","Ichino-Yaguchi","B_TC",1,0.862814828469287,1,NA
"SPCA","Ichino-Yaguchi","Q_RE",1,0.862814828469287,1,0.809176970655064
"SPCA","Ichino-Yaguchi","B_RE",1,0.862814828469287,1,NA
"SPCA","Ichino-Yaguchi","Q_LC",1,0.862814828469287,1,0.299834079584775
"SPCA","Ichino-Yaguchi","B_LC",1,0.862814828469287,1,NA
"V-PCA","Ichino-Yaguchi","Q_TC",1,0.862814828469287,1,0.813958206673826
"V-PCA","Ichino-Yaguchi","B_TC",1,0.862814828469287,1,NA
"V-PCA","Ichino-Yaguchi","Q_RE",1,0.862814828469287,1,0.80914803142369
"V-PCA","Ichino-Yaguchi","B_RE",1,0.862814828469287,1,NA
"V-PCA","Ichino-Yaguchi","Q_LC",1,0.862814828469287,1,0.299821664359862
"V-PCA","Ichino-Yaguchi","B_LC",1,0.862814828469287,1,NA
"C-PCA","Int-Euclidean","Q_TC",1,0.862814828469287,1,0.845830506190192
"C-PCA","Int-Euclidean","B_TC",0.68,0.464999282502628,0.85050457738643,NA
"C-PCA","Int-Euclidean","Q_RE",1,0.862814828469287,1,0.829617826413562
"C-PCA","Int-Euclidean","B_RE",0.84,0.639171545540728,0.95462054762829,NA
"C-PCA","Int-Euclidean","Q_LC",1,0.862814828469287,1,0.32957033656286
"C-PCA","Int-Euclidean","B_LC",1,0.862814828469287,1,NA
"IMDS","Int-Euclidean","Q_TC",0.56,0.349281633991336,0.755976334852792,0.041257666365191
"IMDS","Int-Euclidean","B_TC",0.24,0.0935644393317429,0.451288017816686,NA
"IMDS","Int-Euclidean","Q_RE",0.72,0.506123178193745,0.879283311495933,0.056770412385242
"IMDS","Int-Euclidean","B_RE",0.64,0.425206349553849,0.820283179416345,NA
"IMDS","Int-Euclidean","Q_LC",0.92,0.739694157894786,0.990160409981202,0.0178508696655133
"IMDS","Int-Euclidean","B_LC",0.08,0.00983959001879751,0.260305842105214,NA
