"scenario","replication","Method","Metric","space","anchor","block_id","block_size","candidate_ids","min_within_block_gap","max_within_block_gap","classification"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,280,2,"672;572",1.44217970898808e-13,1.44217970898808e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,298,4,"291;757;554;242",7.43849426498855e-14,4.40980585381112e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,309,2,"745;589",2.32092123297889e-13,2.32092123297889e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,314,2,"298;662",9.76441150157825e-14,9.76441150157825e-14,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,328,2,"199;776",1.2490009027033e-14,1.2490009027033e-14,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,332,3,"579;752;581",2.03725925018716e-14,9.18154441365004e-14,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,334,2,"260;273",9.18154441365004e-14,9.18154441365004e-14,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,335,3,"697;261;790",1.67088565206086e-14,1.63424829224823e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,336,2,"590;623",7.67164110015983e-14,7.67164110015983e-14,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,338,2,"267;690",1.61703983536654e-13,1.61703983536654e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,339,2,"604;493",2.79387624146921e-13,2.79387624146921e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,341,2,"551;477",1.01030295240889e-13,1.01030295240889e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,344,4,"505;130;631;588",5.88418203051333e-15,2.14828155264968e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,346,2,"252;475",5.25690602160012e-14,5.25690602160012e-14,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,348,3,"758;715;465",9.9475983006414e-14,2.86382029202059e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,350,6,"618;698;571;489;657;789",2.1094237467878e-14,6.58140208997793e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,352,4,"615;621;726;591",2.74225087082414e-14,3.98459043537969e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,354,2,"774;533",6.66133814775094e-16,6.66133814775094e-16,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,355,6,"245;750;498;499;707;461",4.73510120002629e-14,5.42899059041702e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,357,2,"687;468",1.74638081773537e-13,1.74638081773537e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,359,3,"268;765;464",2.35367281220533e-14,1.43329792479108e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,360,3,"486;638;612",5.21804821573824e-14,1.30118138486068e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,365,4,"592;254;256;543",1.01030295240889e-14,3.79807296724266e-13,"tolerance_near_tie"
"ScenarioII",51,"IMDS","Int-Euclidean","low",1,367,2,"530;775",2.26541008174763e-13,2.26541008174763e-13,"tolerance_near_tie"
