"scenario","replication","Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","max_abs_mean_delta","pre_max_spread","post_max_spread","replication_fidelity","display_changed"
"USHCN",NA,"IMDS","Int-Euclidean",0.494057175930202,-0.0144837480219936,0.504627111162382,-0.0123782822881291,0.0151937984496124,0,0.494057175930202,-0.0144837480219936,0.504627111162382,-0.0123782822881291,0.0151937984496124,0,0,0,0,2.22044604925031e-16,FALSE
"USHCN",NA,"IMDS","Hausdorff",0.530482664351553,0.00236461816010003,0.529659735357917,-0.000788700502788175,0.0333333333333333,0.00124031007751938,0.530482019075063,0.00236332760712021,0.529659351097108,-0.00078946902440615,0.0333333333333333,0.00124031007751938,1.29055297982223e-06,0,4.30242757182286e-06,4.44089209850063e-16,FALSE
"USHCN",NA,"IMDS","Ichino-Yaguchi",0.530713313753379,0.01004020663625,0.52988010134708,0.0037454561072251,0.0336434108527132,-0.000620155038759691,0.530713313753379,0.01004020663625,0.52988010134708,0.0037454561072251,0.0336434108527132,-0.000620155038759691,0,0,0,4.44089209850063e-16,FALSE
"USHCN",NA,"IMDS","Centers-Euclidean",0.517046751759425,-0.0173269051973082,0.521852132334141,-0.0221664062321025,0.0268217054263566,-0.00248062015503876,0.517046739444988,-0.0173269298261818,0.521852118531669,-0.0221664338370457,0.0268217054263566,-0.00248062015503876,2.7604943188958e-08,0,1.65629659043542e-06,1.11022302462516e-16,FALSE
