"level","Method","Metric","index","primary","mean_qc_diff","mcse","n_rep"
"L3","IMDS","Hausdorff","Q_RE",FALSE,0.166723423860948,0.00572352605448772,25
"L3","IMDS","Hausdorff","Q_LC",FALSE,0.0213955709342561,0.00114249165417029,25
"L3","IMDS","Ichino-Yaguchi","Q_TC",FALSE,0.129309297627173,0.00574322376128194,25
"L3","IMDS","Ichino-Yaguchi","Q_RE",FALSE,0.144189223655514,0.00580366213986998,25
"L3","IMDS","Ichino-Yaguchi","Q_LC",FALSE,0.0212162399077278,0.00110251888570863,25
"L3","IMDS","Wasserstein","Q_TC",TRUE,0.117195632342998,0.00560233668313275,25
"L3","IMDS","Wasserstein","Q_RE",FALSE,0.135713573792474,0.00543017867658547,25
"L3","IMDS","Wasserstein","Q_LC",FALSE,0.0187056055363322,0.00103446411998339,25
"L3","IMDS","CR-Euclidean","Q_TC",FALSE,0.138599955772979,0.00613782937839607,25
"L3","IMDS","CR-Euclidean","Q_RE",FALSE,0.154421122474254,0.00582665372405204,25
"L3","IMDS","CR-Euclidean","Q_LC",FALSE,0.0217266435986159,0.00129619976886771,25
"L3","Int-UMAP","Int-Euclidean","Q_TC",FALSE,0.361053054130374,0.00539261769674284,25
"L3","Int-UMAP","Int-Euclidean","Q_RE",FALSE,0.342608089725764,0.0059108108927734,25
"L3","Int-UMAP","Int-Euclidean","Q_LC",FALSE,0.0566961937716263,0.0026968833253393,25
"L3","Int-UMAP","Hausdorff","Q_TC",FALSE,0.6142796896154,0.00317711877135264,25
"L3","Int-UMAP","Hausdorff","Q_RE",FALSE,0.592478648967937,0.0031575245093396,25
"L3","Int-UMAP","Hausdorff","Q_LC",FALSE,0.175868558246828,0.00228936519100156,25
"L3","Int-UMAP","Ichino-Yaguchi","Q_TC",FALSE,0.549637751899137,0.00288850957597329,25
"L3","Int-UMAP","Ichino-Yaguchi","Q_RE",FALSE,0.540817438051125,0.00296168643904938,25
"L3","Int-UMAP","Ichino-Yaguchi","Q_LC",FALSE,0.180034555940023,0.0026000711827199,25
"L3","Int-UMAP","Wasserstein","Q_TC",TRUE,0.516874258759893,0.00277337677227396,25
"L3","Int-UMAP","Wasserstein","Q_RE",FALSE,0.51500006842936,0.0028307135558489,25
"L3","Int-UMAP","Wasserstein","Q_LC",FALSE,0.157742329873126,0.00249133351127637,25
"L3","Int-UMAP","CR-Euclidean","Q_TC",FALSE,0.584094377281947,0.002982896874073,25
"L3","Int-UMAP","CR-Euclidean","Q_RE",FALSE,0.567655879020159,0.00298919723937536,25
"L3","Int-UMAP","CR-Euclidean","Q_LC",FALSE,0.184297116493656,0.0025136706526124,25
"L1","C-PCA","Int-Euclidean","Q_TC",FALSE,0.006876892972199,0.00225372129566731,25
"L1","C-PCA","Int-Euclidean","Q_RE",FALSE,0.0136094634233416,0.0024316002421941,25
"L1","C-PCA","Int-Euclidean","Q_LC",FALSE,0.0225681199538639,0.00206384026033944,25
"L1","C-PCA","Hausdorff","Q_TC",FALSE,0.0885779205345424,0.00110433504695748,25
"L1","C-PCA","Hausdorff","Q_RE",FALSE,0.0873198560347184,0.00133479683842875,25
"L1","C-PCA","Hausdorff","Q_LC",FALSE,0.0721462514417532,0.00171742559621621,25
"L1","C-PCA","Ichino-Yaguchi","Q_TC",FALSE,-0.00708761882034761,0.00121382652101501,25
"L1","C-PCA","Ichino-Yaguchi","Q_RE",FALSE,-0.00564405639021132,0.00127638006488177,25
"L1","C-PCA","Ichino-Yaguchi","Q_LC",FALSE,0.000137946943483276,0.00169769108830609,25
"L1","C-PCA","Wasserstein","Q_TC",TRUE,0.0046135166050193,0.000915670493031305,25
"L1","C-PCA","Wasserstein","Q_RE",FALSE,0.00444725226030176,0.00106474959335732,25
"L1","C-PCA","Wasserstein","Q_LC",FALSE,0.00502126874279124,0.00150996252162462,25
"L1","C-PCA","CR-Euclidean","Q_TC",FALSE,0.017572062204192,0.00111807852024276,25
"L1","C-PCA","CR-Euclidean","Q_RE",FALSE,0.0189441921954214,0.00120235964686231,25
"L1","C-PCA","CR-Euclidean","Q_LC",FALSE,0.0214921337946943,0.00165592842462511,25
"L1","V-PCA","Int-Euclidean","Q_TC",FALSE,0.00678599069323466,0.0022546218673792,25
"L1","V-PCA","Int-Euclidean","Q_RE",FALSE,0.0136192056835594,0.0023604776884026,25
"L1","V-PCA","Int-Euclidean","Q_LC",FALSE,0.0220439215686274,0.0019783005745428,25
"L1","V-PCA","Hausdorff","Q_TC",FALSE,0.0887728062681462,0.00113444027292088,25
"L1","V-PCA","Hausdorff","Q_RE",FALSE,0.0874794767148992,0.00139203477581895,25
"L1","V-PCA","Hausdorff","Q_LC",FALSE,0.071884152249135,0.00168221758671926,25
"L1","V-PCA","Ichino-Yaguchi","Q_TC",FALSE,-0.00716225287356325,0.00131637744923978,25
"L1","V-PCA","Ichino-Yaguchi","Q_RE",FALSE,-0.00572824334053477,0.0012690326081582,25
"L1","V-PCA","Ichino-Yaguchi","Q_LC",FALSE,-0.00059317185697809,0.00166795101901578,25
"L1","V-PCA","Wasserstein","Q_TC",TRUE,0.0049170950165056,0.000953142086950724,25
"L1","V-PCA","Wasserstein","Q_RE",FALSE,0.00453231152680896,0.00107939484063379,25
