"scenario","Method","Metric","K","Q_TC.mean","Q_TC.sd","Q_TC.mcse","Q_TC.q025","Q_TC.q975","B_TC.mean","B_TC.sd","B_TC.mcse","B_TC.q025","B_TC.q975","Q_RE.mean","Q_RE.sd","Q_RE.mcse","Q_RE.q025","Q_RE.q975","B_RE.mean","B_RE.sd","B_RE.mcse","B_RE.q025","B_RE.q975","Q_LC.mean","Q_LC.sd","Q_LC.mcse","Q_LC.q025","Q_LC.q975","B_LC.mean","B_LC.sd","B_LC.mcse","B_LC.q025","B_LC.q975"
"I","C-PCA","Centers-Euclidean",5,0.840150593607306,0.00655329045990964,0.00131065809198193,0.828777168949772,0.849499315068493,0.157968767123288,0.00992816634367734,0.00198563326873547,0.146203196347032,0.177097716894977,0.841444511159781,0.00675517887209129,0.00135103577441826,0.830665633125805,0.850692882512652,0.165924896030711,0.0116273977524209,0.00232547955048418,0.150676001345244,0.185546406804964,0.150026666666667,0.0110595693439697,0.00221191386879394,0.132933333333333,0.1704,0.0306666666666667,0.00922757542088648,0.0018455150841773,0.0141333333333333,0.046
"II","C-PCA","Centers-Euclidean",5,0.922194797979798,0.0038707064710834,0.00077414129421668,0.914910069444444,0.929638636363637,0.128620277777778,0.00722416879239151,0.0014448337584783,0.114163383838384,0.141849684343435,0.923031676241788,0.0040874768894483,0.00081749537788966,0.915837660463454,0.92998600153935,0.130969762775228,0.0078240332461802,0.00156480664923604,0.117205200802661,0.144486484876806,0.33642,0.0165239283565783,0.00330478567131567,0.3097,0.36195,0.07134,0.00758455118426046,0.00151691023685209,0.059,0.0833
"III","C-PCA","Centers-Euclidean",5,0.837974583333333,0.00801502862251947,0.00160300572450389,0.825109375,0.85040625,0.147935,0.011178529640361,0.0022357059280722,0.132553125,0.167415625,0.837622058878123,0.00856045601074611,0.00171209120214922,0.822736273527119,0.849474199057059,0.155577428815384,0.0135343315286721,0.00270686630573442,0.131825444555815,0.17565296803653,0.18836,0.0175211301005386,0.00350422602010772,0.1616,0.2208,0.03372,0.00859030461237163,0.00171806092247433,0.0192,0.0474
"IV","C-PCA","Centers-Euclidean",5,0.90442436803653,0.0166647991882396,0.00333295983764793,0.87856704109589,0.937454885844749,0.0902802575342465,0.0200500990316635,0.0040100198063327,0.0527504109589041,0.124861881278539,0.903689479243054,0.0150959992667107,0.00301919985334214,0.880660839464855,0.933867361271747,0.0949082394861826,0.0191323209535364,0.00382646419070727,0.0587682594679726,0.128096122581227,0.228101866666667,0.0265341878366033,0.00530683756732067,0.19,0.281466666666667,0.0384218666666667,0.0120823758271968,0.00241647516543936,0.017128,0.058368
"I","IMDS","Centers-Euclidean",5,0.501001415525114,0.0074437170218053,0.00148874340436106,0.484786529680365,0.50974200913242,-0.00223041095890411,0.0134002784260673,0.00268005568521346,-0.0229470319634704,0.0225109589041096,0.50018366349222,0.00789812631375264,0.00157962526275053,0.484476322891289,0.511777698484961,-0.00229897220103191,0.014485351508559,0.0028970703017118,-0.03145584893898,0.0240255268187447,0.0167466666666667,0.0038792897402603,0.000775857948052061,0.0104,0.0221333333333333,0.000453333333333333,0.00301059856236326,0.000602119712472651,-0.0056,0.00586666666666666
"II","IMDS","Centers-Euclidean",5,0.613037222222222,0.0235204550197124,0.00470409100394248,0.568618339646465,0.644809943181819,-0.0751445202020202,0.0234484336335426,0.00468968672670852,-0.106085858585858,-0.025132196969697,0.618691418583982,0.0234841035069838,0.00469682070139677,0.574656451295161,0.648982838084243,-0.0828011554284982,0.025738475254888,0.00514769505097759,-0.114066288243218,-0.0291027492967555,0.0328,0.00583853934359157,0.00116770786871831,0.01935,0.0408,-0.00208,0.00283276955175202,0.000566553910350404,-0.0076,0.00185
"III","IMDS","Centers-Euclidean",5,0.506051666666667,0.0112612743176618,0.00225225486353237,0.485431770833333,0.525680208333333,-0.00372499999999999,0.0129657817993016,0.00259315635986032,-0.0322427083333333,0.0150614583333334,0.503870449567509,0.0110187145671435,0.00220374291342869,0.486439581245127,0.52447586962171,-0.00272026580539778,0.0130584259521272,0.00261168519042544,-0.03033990422096,0.0168387719493634,0.02636,0.00595035012975427,0.00119007002595085,0.0182,0.0392,0.00096,0.004773887304912,0.000954777460982401,-0.0062,0.0106
"IV","IMDS","Centers-Euclidean",5,0.547417174429224,0.0124672065194813,0.00249344130389625,0.531665835616439,0.574093735159817,-0.0547546264840183,0.0215906452538587,0.00431812905077175,-0.107535506849315,-0.0271258812785388,0.547623258836364,0.0124398009636421,0.00248796019272841,0.529426321496829,0.574698371106791,-0.0617495347261527,0.0228283454215202,0.00456566908430404,-0.116540793201598,-0.0347404188301302,0.0291909333333333,0.00516915742113205,0.00103383148422641,0.0213333333333333,0.0382133333333333,0.00114933333333333,0.00348981162603158,0.000697962325206316,-0.004912,0.0076
"I","Int-UMAP","Centers-Euclidean",5,0.60741196347032,0.0108700993625712,0.00217401987251425,0.590947260273972,0.626567123287671,-0.090069406392694,0.0181527918830146,0.00363055837660292,-0.122468493150685,-0.0673433789954339,0.612707544028021,0.0115752556530454,0.00231505113060908,0.596097095422071,0.632620149125182,-0.0916687977294912,0.0188395941886892,0.00376791883773784,-0.128345366701938,-0.0634028430576404,0.0890933333333333,0.0108215833715158,0.00216431667430316,0.0673333333333333,0.104,-0.000720000000000001,0.00753736372028389,0.00150747274405678,-0.0157333333333333,0.0109333333333333
"II","Int-UMAP","Centers-Euclidean",5,0.911975656565657,0.0362122826359126,0.00724245652718253,0.855062405303031,0.959451799242424,0.0135148484848485,0.0114649252685827,0.00229298505371654,-0.00330410353535358,0.0366827651515151,0.940975836105079,0.0252820350188627,0.00505640700377254,0.900696213245737,0.973600624673575,0.0110369430165755,0.00890011862390485,0.00178002372478097,-0.000451751010198193,0.0299811200601079,0.61411,0.0333689195459887,0.00667378390919774,0.56715,0.663,-0.01751,0.00703876172822086,0.00140775234564417,-0.0327,-0.00775000000000001
"III","Int-UMAP","Centers-Euclidean",5,0.511008958333333,0.00885289797257601,0.0017705795945152,0.4968609375,0.525950520833333,-0.00444291666666666,0.0182560201193534,0.00365120402387067,-0.0363177083333333,0.0289541666666667,0.509573768422616,0.00875945036742538,0.00175189007348508,0.497339532984371,0.525663585402977,-0.0064201358725916,0.0203307042030576,0.00406614084061151,-0.0426093477373129,0.0259415673608791,0.02864,0.00550666263115268,0.00110133252623054,0.0192,0.0384,-0.00068,0.00310537169004506,0.000621074338009013,-0.0064,0.0054
"IV","Int-UMAP","Centers-Euclidean",5,0.818025139726027,0.0270163435028288,0.00540326870056576,0.76547104109589,0.85901894063927,0.0493373333333334,0.0331619470711905,0.0066323894142381,0.00400797260273974,0.119846703196347,0.83345297553133,0.0245526533836285,0.0049105306767257,0.786313129742189,0.870273224401407,0.0528371530706827,0.0303557127721928,0.00607114255443856,0.0119776820795498,0.116591421610847,0.278972266666667,0.0275646036901058,0.00551292073802115,0.228266666666667,0.3216,0.0135184,0.00975742400735252,0.0019514848014705,-0.00192266666666667,0.0330133333333333
"I","MR-PCA","Centers-Euclidean",5,0.840150593607306,0.00655329045990964,0.00131065809198193,0.828777168949772,0.849499315068493,0.157968767123288,0.00992816634367734,0.00198563326873547,0.146203196347032,0.177097716894977,0.841444511159781,0.00675517887209129,0.00135103577441826,0.830665633125805,0.850692882512652,0.165924896030711,0.0116273977524209,0.00232547955048418,0.150676001345244,0.185546406804964,0.150026666666667,0.0110595693439697,0.00221191386879394,0.132933333333333,0.1704,0.0306666666666667,0.00922757542088648,0.0018455150841773,0.0141333333333333,0.046
"II","MR-PCA","Centers-Euclidean",5,0.920582720959596,0.00304206039850787,0.000608412079701574,0.915555523989899,0.92624163510101,0.13086375,0.00592624451467508,0.00118524890293502,0.119521148989899,0.140641477272727,0.921571450103998,0.00328279187873943,0.000656558375747886,0.915641020002382,0.927256797648827,0.133142423742635,0.00641737490610786,0.00128347498122157,0.121611270696464,0.144396318388814,0.33002,0.0131416402451647,0.00262832804903295,0.30735,0.35335,0.07077,0.00585587312021017,0.00117117462404203,0.0621,0.0815
"III","MR-PCA","Centers-Euclidean",5,0.837974583333333,0.00801502862251947,0.00160300572450389,0.825109375,0.85040625,0.147935,0.011178529640361,0.0022357059280722,0.132553125,0.167415625,0.837622058878123,0.00856045601074611,0.00171209120214922,0.822736273527119,0.849474199057059,0.155577428815384,0.0135343315286721,0.00270686630573442,0.131825444555815,0.17565296803653,0.18836,0.0175211301005386,0.00350422602010772,0.1616,0.2208,0.03372,0.00859030461237163,0.00171806092247433,0.0192,0.0474
"IV","MR-PCA","Centers-Euclidean",5,0.90442436803653,0.0166647989491174,0.00333295978982349,0.878567333333333,0.937454899543379,0.0902801735159818,0.0200504505107039,0.00401009010214078,0.052749397260274,0.124862301369863,0.903689304098892,0.0150960685294471,0.00301921370588941,0.880661176760095,0.933867339944714,0.0949083402810247,0.0191326657265121,0.00382653314530242,0.0587676826537392,0.1280965051554,0.228104533333333,0.0265311332644555,0.0053062266528911,0.19,0.281466666666667,0.0384314666666667,0.0120555079650878,0.00241110159301757,0.0172506666666667,0.0584
"I","SPCA","Centers-Euclidean",5,0.840150593607306,0.00655329045990964,0.00131065809198193,0.828777168949772,0.849499315068493,0.157968767123288,0.00992816634367734,0.00198563326873547,0.146203196347032,0.177097716894977,0.841444511159781,0.00675517887209129,0.00135103577441826,0.830665633125805,0.850692882512652,0.165924896030711,0.0116273977524209,0.00232547955048418,0.150676001345244,0.185546406804964,0.150026666666667,0.0110595693439697,0.00221191386879394,0.132933333333333,0.1704,0.0306666666666667,0.00922757542088648,0.0018455150841773,0.0141333333333333,0.046
"II","SPCA","Centers-Euclidean",5,0.920846073232323,0.00272569799775662,0.000545139599551324,0.916030018939394,0.926003188131313,0.130333762626263,0.00525659153725182,0.00105131830745036,0.119941603535354,0.1394125,0.922048922684332,0.00300667442108534,0.000601334884217067,0.917074088072789,0.928188524515059,0.132169396721552,0.00591555973688288,0.00118311194737658,0.119874116935595,0.141536046437047,0.32927,0.0124211932464907,0.00248423864929814,0.3095,0.34965,0.07027,0.00608829135855592,0.00121765827171118,0.0596,0.08025
"III","SPCA","Centers-Euclidean",5,0.837974583333333,0.00801502862251947,0.00160300572450389,0.825109375,0.85040625,0.147935,0.011178529640361,0.0022357059280722,0.132553125,0.167415625,0.837622058878123,0.00856045601074611,0.00171209120214922,0.822736273527119,0.849474199057059,0.155577428815384,0.0135343315286721,0.00270686630573442,0.131825444555815,0.17565296803653,0.18836,0.0175211301005386,0.00350422602010772,0.1616,0.2208,0.03372,0.00859030461237163,0.00171806092247433,0.0192,0.0474
"IV","SPCA","Centers-Euclidean",5,0.904424420091324,0.0166648360045339,0.00333296720090678,0.878567223744292,0.937455273972603,0.0902801899543379,0.0200505170749615,0.00401010341499231,0.0527493242009133,0.124862264840183,0.903689352593285,0.0150960605532806,0.00301921211065611,0.880660503482048,0.933867753361058,0.0949084074775861,0.0191327322089237,0.00382654644178475,0.0587680652279122,0.128097145622626,0.2281072,0.0265297631545598,0.00530595263091196,0.19,0.281466666666667,0.0384133333333333,0.0120792819261681,0.00241585638523362,0.017112,0.058368
"I","V-PCA","Centers-Euclidean",5,0.839852146118721,0.00607043656850354,0.00121408731370071,0.827234703196347,0.850222374429223,0.158493881278539,0.00903676939263807,0.00180735387852761,0.145423744292237,0.174721461187215,0.841266650261256,0.00642298349286799,0.0012845966985736,0.830523414622142,0.850919375610076,0.16620744969691,0.0111880560721315,0.0022376112144263,0.150873998244621,0.185430945525834,0.1504,0.0101762250149824,0.00203524500299648,0.1364,0.169866666666667,0.0300266666666667,0.00926258903091115,0.00185251780618223,0.0161333333333333,0.0452
"II","V-PCA","Centers-Euclidean",5,0.922202064393939,0.00387010470614791,0.000774020941229581,0.914943276515152,0.929663257575758,0.12860773989899,0.00722476678303426,0.00144495335660685,0.114122222222223,0.141784027777778,0.923023027021084,0.00409955209178128,0.000819910418356255,0.915875111098894,0.929962118713177,0.130988442049901,0.00784380877081241,0.00156876175416248,0.117259513272309,0.144413796421012,0.33648,0.0165469533953132,0.00330939067906264,0.3101,0.3621,0.07136,0.00739442357455941,0.00147888471491188,0.0592,0.08325
"III","V-PCA","Centers-Euclidean",5,0.837754375,0.00809373326729011,0.00161874665345802,0.824130729166667,0.850183333333333,0.148614583333333,0.01030582784297,0.00206116556859401,0.133633333333333,0.166508333333333,0.837204310056799,0.00777557936981766,0.00155511587396353,0.822881649775402,0.847896146564206,0.156562460556112,0.011766135996019,0.00235322719920379,0.138554070609199,0.176745146081598,0.18716,0.0180247052680481,0.00360494105360961,0.1602,0.22,0.03216,0.0100153215957685,0.0020030643191537,0.0196,0.0492
"IV","V-PCA","Centers-Euclidean",5,0.90455484109589,0.0166941749201027,0.00333883498402054,0.878754287671233,0.93776294977169,0.0899493716894977,0.0200922588188086,0.00401845176376172,0.0520855890410959,0.123867589041096,0.903663974276316,0.0152159934440422,0.00304319868880844,0.880856071232293,0.934080922148124,0.0949000756289424,0.0193079123305463,0.00386158246610926,0.0583017634175751,0.127581676140791,0.228085866666667,0.0267399997451453,0.00534799994902906,0.188933333333333,0.282266666666667,0.0382122666666667,0.0122015529794822,0.00244031059589644,0.017368,0.05732
"I","C-PCA","Hausdorff",5,0.94377100456621,0.00230101501157756,0.000460203002315513,0.939114155251142,0.947152283105023,0.0410850228310502,0.00239380415866637,0.000478760831733275,0.0368442922374429,0.0455735159817352,0.940752076514835,0.00261556820634816,0.000523113641269632,0.936166162200294,0.944350099662869,0.0452733092173799,0.00335680591485417,0.000671361182970834,0.0395422234252857,0.0517467824888648,0.25776,0.015719626797945,0.00314392535958899,0.2284,0.278666666666667,0.04048,0.0113668132932869,0.00227336265865739,0.0217333333333333,0.0570666666666667
"II","C-PCA","Hausdorff",5,0.921637544191919,0.00384454260055975,0.00076890852011195,0.914694128787879,0.928943560606061,0.128726679292929,0.0071047858280102,0.00142095716560204,0.114564772727273,0.141147727272728,0.922466013130286,0.00401111460709344,0.000802222921418687,0.915314380091078,0.929424349670597,0.131246978110082,0.0076437892587961,0.00152875785175922,0.117471828985587,0.144530090620047,0.33286,0.0163626034501441,0.00327252069002881,0.307,0.35955,0.06713,0.0080806868519947,0.00161613737039894,0.0536,0.08065
"III","C-PCA","Hausdorff",5,0.812265416666667,0.0108237008312093,0.00216474016624187,0.797308333333333,0.835909895833333,0.128579583333333,0.0165174639052111,0.00330349278104223,0.101898958333333,0.155007291666667,0.816630523072354,0.00992147121293242,0.00198429424258648,0.802823291383598,0.837181868804989,0.139442254148569,0.0155131062762271,0.00310262125524543,0.113959980695697,0.161633106879014,0.18,0.0129357386079548,0.00258714772159097,0.152,0.2,0.02324,0.00808949936646267,0.00161789987329253,0.0098,0.0378
"IV","C-PCA","Hausdorff",5,0.924256938812785,0.0130868191108957,0.00261736382217914,0.902140730593607,0.949468684931507,0.0696500712328767,0.0155439942848608,0.00310879885697217,0.0430370958904109,0.0988215981735159,0.923547960069231,0.0124633641711918,0.00249267283423835,0.903670871209325,0.947439326886007,0.0743633499192033,0.0160315122757516,0.00320630245515032,0.0472900981863818,0.104627876073529,0.286293866666667,0.0266819340961466,0.00533638681922933,0.2448,0.343141333333333,0.0451392,0.0135123461131471,0.00270246922262942,0.0241866666666667,0.0705733333333333
"I","IMDS","Hausdorff",5,0.584986255707763,0.0147281739438806,0.00294563478877612,0.559530821917808,0.611174885844749,-0.107191872146119,0.0172295732396003,0.00344591464792007,-0.129267579908676,-0.0730287671232876,0.5894527565191,0.0136090767742769,0.00272181535485538,0.567453297897647,0.615029045779298,-0.122800380605524,0.0175582943364858,0.00351165886729716,-0.147699977852696,-0.0843072897441577,0.0285333333333333,0.00529849734114061,0.00105969946822812,0.02,0.0378666666666667,-0.00106666666666666,0.00418993502999217,0.000837987005998435,-0.00973333333333332,0.004
"II","IMDS","Hausdorff",5,0.621791849747475,0.0227602825951657,0.00455205651903315,0.583503787878788,0.656310227272727,-0.033000643939394,0.0172041111957782,0.00344082223915563,-0.0642838383838384,-0.00475012626262626,0.628232495166625,0.0235125770513135,0.00470251541026269,0.586534024895315,0.661346626258739,-0.0406181977697756,0.0182001270723202,0.00364002541446405,-0.0685532312597928,-0.0072783405261277,0.0324,0.00417519959602732,0.000835039919205463,0.0248,0.03985,-0.00044,0.00215817245217646,0.000431634490435291,-0.0036,0.00355
"III","IMDS","Hausdorff",5,0.504887708333333,0.00782186242104524,0.00156437248420905,0.49279375,0.516063541666667,-0.00145041666666668,0.0167369696527643,0.00334739393055285,-0.02855625,0.0260239583333333,0.504917871329398,0.0089274841759167,0.00178549683518334,0.48974882132383,0.520669970672309,-0.00208591157144448,0.0185024480897609,0.00370048961795218,-0.0312812488398856,0.0308663919515907,0.0272,0.00495815826021451,0.000991631652042901,0.0186,0.0348,-0.00108,0.00356978057215473,0.000713956114430945,-0.0074,0.0042
"IV","IMDS","Hausdorff",5,0.554621789954338,0.0132536229048025,0.0026507245809605,0.536033662100457,0.581586406392694,-0.0503342100456621,0.0176112273850635,0.0035222454770127,-0.0931338721461187,-0.0271245114155251,0.556450670177425,0.0138106484187653,0.00276212968375307,0.536624305435933,0.583273431601743,-0.0573169710362478,0.0188053952285735,0.00376107904571471,-0.0984257427139472,-0.0345635740827325,0.0305696,0.00551469890383872,0.00110293978076774,0.020168,0.0401333333333333,-0.0001312,0.00413810957017994,0.000827621914035988,-0.00560533333333333,0.00781066666666667
"I","Int-UMAP","Hausdorff",5,0.903960228310502,0.00675213267895611,0.00135042653579122,0.891377853881279,0.914145433789954,0.00010036529680364,0.00766462574468346,0.00153292514893669,-0.0173931506849315,0.00939543378995431,0.906144689158484,0.00629340921902833,0.00125868184380567,0.894071929522356,0.91633909163242,0.00475192558505794,0.00814894779130686,0.00162978955826137,-0.0128003051406354,0.0161515203714185,0.2292,0.0161532017236808,0.00323064034473616,0.203866666666667,0.252933333333333,0.0144,0.011001683372877,0.00220033667457539,-0.00506666666666668,0.0358666666666667
"II","Int-UMAP","Hausdorff",5,0.910608787878788,0.0366325721332179,0.00732651442664357,0.853356123737374,0.958087247474747,0.0124457323232323,0.0114614080142894,0.00229228160285788,-0.00441287878787884,0.0328494318181818,0.939716554651493,0.0257437534245338,0.00514875068490677,0.899071327780679,0.972530907254185,0.0095299976176732,0.00937968524460812,0.00187593704892162,-0.00116453631673951,0.0268017079450598,0.60641,0.0316146952908506,0.00632293905817013,0.56135,0.6527,-0.02069,0.00605413082118317,0.00121082616423663,-0.03115,-0.01195
"III","Int-UMAP","Hausdorff",5,0.914835104166667,0.0167081210825252,0.00334162421650504,0.8800609375,0.940606770833333,0.0272997916666667,0.0147428088251568,0.00294856176503136,-0.00338541666666668,0.049353125,0.922129914244348,0.0154683311811829,0.00309366623623658,0.890485930133274,0.946096948435238,0.0316759772803207,0.0155935974739751,0.00311871949479502,0.0045120837509745,0.0587892861120392,0.42984,0.0376360642646562,0.00752721285293124,0.3604,0.4928,0.01896,0.0159856185366723,0.00319712370733445,-0.0212,0.0412
"IV","Int-UMAP","Hausdorff",5,0.831103944292237,0.0240808534280368,0.00481617068560736,0.784068684931507,0.866832127853882,0.0271309570776256,0.0278271472105649,0.00556542944211298,-0.00619004566210046,0.0898276073059361,0.848685143227436,0.020724815128422,0.00414496302568441,0.808954894636251,0.879419775081822,0.0233944546431413,0.023820254673427,0.00476405093468539,-0.00793789370934535,0.0805211319733248,0.30368,0.0241117153022097,0.00482234306044194,0.257866666666667,0.342266666666667,-0.00359786666666667,0.0121387110670932,0.00242774221341863,-0.0172693333333333,0.0213493333333333
"I","MR-PCA","Hausdorff",5,0.75959196347032,0.0148612587907745,0.00297225175815491,0.741117579908676,0.78910205479452,0.22498703196347,0.0218212079364525,0.0043642415872905,0.186189497716895,0.256262100456621,0.771182543002682,0.0168136218228748,0.00336272436457496,0.749348861054375,0.806938873440461,0.227263439722421,0.0271215628953475,0.0054243125790695,0.17798536637383,0.265405139815111,0.106053333333333,0.0120890522864774,0.00241781045729548,0.0893333333333333,0.124933333333333,0.0199733333333333,0.00681360295182991,0.00136272059036598,0.00706666666666667,0.0333333333333333
"II","MR-PCA","Hausdorff",5,0.919967531565656,0.00329600637779119,0.000659201275558237,0.913653914141414,0.925400315656565,0.131393825757576,0.0063585735725593,0.00127171471451186,0.120578787878788,0.143271590909091,0.920852566269918,0.00347073166583707,0.000694146333167414,0.914694436808782,0.926693217011646,0.133937734682097,0.00674170920453337,0.00134834184090667,0.122074679073091,0.145839651080752,0.32471,0.0115277473225836,0.00230554946451672,0.303,0.34175,0.07145,0.00663913586244475,0.00132782717248895,0.06075,0.0825
"III","MR-PCA","Hausdorff",5,0.564648333333333,0.0121236286118677,0.00242472572237353,0.5475109375,0.585547395833333,0.00945458333333334,0.014635231355712,0.00292704627114239,-0.00957083333333336,0.0382343750000001,0.570114700968928,0.0142567214595541,0.00285134429191082,0.549016018858819,0.59421856554182,0.0108932175075175,0.0194751851452423,0.00389503702904846,-0.0155452351783792,0.0459008427070572,0.03752,0.00750066663703967,0.00150013332740793,0.0274,0.052,0.00132,0.00414045086111807,0.000828090172223613,-0.0056,0.00759999999999999
"IV","MR-PCA","Hausdorff",5,0.912198440182648,0.0153289731284121,0.00306579462568242,0.89002103196347,0.945281086757991,0.076920200913242,0.0172887187231299,0.00345774374462598,0.0420300273972603,0.106248721461187,0.912863822755945,0.0139984754645729,0.00279969509291458,0.895641564584,0.943559857601037,0.0793601018447884,0.0162521358846589,0.00325042717693178,0.0458625646578242,0.106485214295675,0.2478096,0.0302270826614516,0.00604541653229032,0.207333333333333,0.316266666666667,0.0348789333333333,0.0113985853053334,0.00227971706106669,0.0175173333333333,0.0529626666666667
"I","SPCA","Hausdorff",5,0.94377100456621,0.00230101501157756,0.000460203002315513,0.939114155251142,0.947152283105023,0.0410850228310502,0.00239380415866637,0.000478760831733275,0.0368442922374429,0.0455735159817352,0.940752076514835,0.00261556820634816,0.000523113641269632,0.936166162200294,0.944350099662869,0.0452733092173799,0.00335680591485417,0.000671361182970834,0.0395422234252857,0.0517467824888648,0.25776,0.015719626797945,0.00314392535958899,0.2284,0.278666666666667,0.04048,0.0113668132932869,0.00227336265865739,0.0217333333333333,0.0570666666666667
"II","SPCA","Hausdorff",5,0.920387531565657,0.00282702866270608,0.000565405732541217,0.915254987373737,0.925695075757576,0.13033125,0.00545912610838491,0.00109182522167698,0.11965101010101,0.139946464646465,0.921622036293832,0.00321758848827643,0.000643517697655286,0.916240947158159,0.928058983204596,0.132249638985862,0.0062915269703155,0.0012583053940631,0.11920047738164,0.142403820427536,0.32629,0.0124370665753625,0.00248741331507251,0.30505,0.34305,0.06731,0.00658528979367398,0.0013170579587348,0.05665,0.0774
"III","SPCA","Hausdorff",5,0.812265416666667,0.0108237008312093,0.00216474016624187,0.797308333333333,0.835909895833333,0.128579583333333,0.0165174639052111,0.00330349278104223,0.101898958333333,0.155007291666667,0.816630523072354,0.00992147121293242,0.00198429424258648,0.802823291383598,0.837181868804989,0.139442254148569,0.0155131062762271,0.00310262125524543,0.113959980695697,0.161633106879014,0.18,0.0129357386079548,0.00258714772159097,0.152,0.2,0.02324,0.00808949936646267,0.00161789987329253,0.0098,0.0378
"IV","SPCA","Hausdorff",5,0.924256883105023,0.0130868923042754,0.00261737846085508,0.902140200913242,0.949468913242009,0.069650102283105,0.0155440050349353,0.00310880100698706,0.043038100456621,0.0988220273972601,0.923547764451116,0.0124634189842706,0.00249268379685412,0.903670988836118,0.947440130094906,0.0743635047862785,0.0160318014332371,0.00320636028664742,0.0472907439033393,0.10463024599913,0.2862944,0.0266873802663634,0.00533747605327267,0.2448,0.343173333333333,0.0451274666666667,0.01351728061628,0.002703456123256,0.0240826666666667,0.0706106666666667
"I","V-PCA","Hausdorff",5,0.943686849315068,0.00237060362679965,0.000474120725359929,0.939106621004566,0.946779680365296,0.0413298630136986,0.00256724949766289,0.000513449899532577,0.0369287671232876,0.0458812785388128,0.940619860389957,0.00265244268485498,0.000530488536970996,0.935575337746389,0.943978894439386,0.0456047411636358,0.00333066029341189,0.000666132058682378,0.0400507747455111,0.0515482114001198,0.257706666666667,0.0150260021542904,0.00300520043085809,0.229733333333333,0.2776,0.04048,0.0105101714402622,0.00210203428805244,0.0201333333333333,0.0565333333333333
"II","V-PCA","Hausdorff",5,0.921650688131313,0.00386513188220567,0.000773026376441135,0.914688226010101,0.929015940656566,0.128704027777778,0.00713973560532513,0.00142794712106503,0.11442380050505,0.141159532828283,0.922477991652693,0.0040369354499524,0.000807387089990479,0.915263374245214,0.929444450552975,0.131225845955084,0.00768704847006072,0.00153740969401215,0.117436236106912,0.144628153146962,0.33295,0.0163929608877306,0.00327859217754613,0.307,0.35995,0.06722,0.00814910526786019,0.00162982105357204,0.05345,0.0807
"III","V-PCA","Hausdorff",5,0.812883333333333,0.0112060233898613,0.00224120467797227,0.795071354166667,0.8330328125,0.126786666666667,0.0146192554601229,0.00292385109202457,0.107061458333333,0.1527625,0.816306682258603,0.0101967648840966,0.00203935297681932,0.80112031777852,0.834749935033597,0.139279956936556,0.0153173375336854,0.00306346750673708,0.114562794669043,0.163317852767569,0.17892,0.014279705879324,0.0028559411758648,0.1538,0.2018,0.02228,0.0102083299319722,0.00204166598639444,0.004,0.041
"IV","V-PCA","Hausdorff",5,0.924198885844749,0.0131233789813829,0.00262467579627658,0.902761315068493,0.949492744292237,0.0697145936073059,0.0155521604810184,0.00311043209620368,0.0429195890410959,0.0986204200913242,0.923269283198399,0.012608582484771,0.00252171649695419,0.903806831705096,0.947492034845092,0.0748590512094889,0.016254089419921,0.00325081788398419,0.0471325032195618,0.103988367579628,0.286304533333333,0.0268372962373883,0.00536745924747766,0.242266666666667,0.342698666666667,0.0456373333333333,0.0139361002037474,0.00278722004074948,0.0248213333333333,0.0716746666666667
"I","C-PCA","Ichino-Yaguchi",5,0.925263698630137,0.00340440008491652,0.000680880016983304,0.918387671232877,0.930190182648402,0.0729944292237443,0.00396197290424103,0.000792394580848205,0.065951598173516,0.0805342465753425,0.923230146582343,0.00387876335836352,0.000775752671672704,0.915715973127938,0.928794546841549,0.0773827858027577,0.0057102157873732,0.00114204315747464,0.0684363018923641,0.0883783743878731,0.255306666666667,0.0167691073991123,0.00335382147982246,0.225866666666667,0.280933333333333,0.0413066666666667,0.010684845620126,0.0021369691240252,0.0204,0.0590666666666667
"II","C-PCA","Ichino-Yaguchi",5,0.922187752525253,0.0038622569565774,0.00077245139131548,0.914885132575757,0.929592929292929,0.128652702020202,0.00720313623753729,0.00144062724750746,0.114283585858586,0.141915340909091,0.923006967389611,0.00409138795321743,0.000818277590643485,0.915844014862054,0.929995002840466,0.131049222536812,0.00782264135018746,0.00156452827003749,0.117221109706149,0.144498410255001,0.33654,0.0165300673017384,0.00330601346034767,0.30965,0.36235,0.07183,0.00726066743947598,0.0014521334878952,0.06065,0.08375
"III","C-PCA","Ichino-Yaguchi",5,0.8108690625,0.0109995908955238,0.00219991817910475,0.793358333333333,0.833991666666667,0.135894791666667,0.0153408836903988,0.00306817673807977,0.1099625,0.159325,0.813642940936259,0.0102100345895508,0.00204200691791017,0.799107250250584,0.835915673608791,0.149421205033968,0.0152959313297557,0.00305918626595115,0.122215020232394,0.175264023462152,0.18076,0.0166064244596281,0.00332128489192561,0.1436,0.2038,0.02728,0.0122083304891919,0.00244166609783839,0.005,0.0458
