"scenario","Method","Metric","K","Q_TC.mean","Q_TC.sd","Q_TC.mcse","Q_TC.q025","Q_TC.q975","B_TC.mean","B_TC.sd","B_TC.mcse","B_TC.q025","B_TC.q975","Q_RE.mean","Q_RE.sd","Q_RE.mcse","Q_RE.q025","Q_RE.q975","B_RE.mean","B_RE.sd","B_RE.mcse","B_RE.q025","B_RE.q975","Q_LC.mean","Q_LC.sd","Q_LC.mcse","Q_LC.q025","Q_LC.q975","B_LC.mean","B_LC.sd","B_LC.mcse","B_LC.q025","B_LC.q975"
"II","Int-UMAP","Ichino-Yaguchi",40,0.741146767241379,0.0733548339368205,0.0146709667873641,0.631621855983773,0.833966480730223,0.0288816615956727,0.0213501965303258,0.00427003930606516,0.00298157538877619,0.0765264874915482,0.846489249799,0.0485824979228703,0.00971649958457406,0.772993174654743,0.907710831425304,0.0210913503029446,0.0131209017862764,0.00262418035725529,0.00225758218878413,0.0484598662250695,0.3653275,0.0843223244716183,0.0168644648943237,0.24345625,0.46810625,-0.006695,0.0147752676847579,0.00295505353695157,-0.03213125,0.0146625
"III","Int-UMAP","Ichino-Yaguchi",40,0.815296845878136,0.0161484728715867,0.00322969457431734,0.787170967741935,0.839445788530466,0.00680924731182798,0.0125092404607475,0.00250184809214949,-0.0142252688172042,0.0255754480286739,0.863302505614004,0.0147557694552169,0.00295115389104338,0.835760903564066,0.882645180451826,0.0208324758269601,0.0122387950047263,0.00244775900094526,-0.00013225814211312,0.0419763622548319,0.52769,0.0229977387928321,0.00459954775856641,0.48025,0.560475,0.013815,0.014557273740299,0.00291145474805981,-0.015575,0.033325
"IV","Int-UMAP","Ichino-Yaguchi",40,0.76552145302714,0.0409126975433639,0.00818253950867278,0.705572041057759,0.83135191927627,0.0218867373695198,0.0266573276450796,0.00533146552901592,-0.0170759526791928,0.0735280111343076,0.800847766670503,0.0265004095673134,0.00530008191346268,0.753605874733146,0.842105337302194,0.0238355161959498,0.0239876438176305,0.0047975287635261,-0.00962424972760834,0.0720012945712304,0.4002,0.0401039303744842,0.00802078607489684,0.327316666666667,0.467366666666667,0.0106674,0.0147027105642186,0.00294054211284372,-0.013646,0.0356406666666667
"I","MR-PCA","Ichino-Yaguchi",40,0.699468503827418,0.0040562937317005,0.000811258746340099,0.693064718162839,0.706928148921364,0.194130855949896,0.00527696764378616,0.00105539352875723,0.183712247738344,0.201318510786361,0.704035988352602,0.00584687532925915,0.00116937506585183,0.694334306462164,0.714990608857794,0.246331418102461,0.00847381588333944,0.00169476317666789,0.230343523866661,0.256274675599086,0.297713333333333,0.00586509606501482,0.00117301921300296,0.28745,0.306566666666667,0.0588466666666667,0.00579175059891223,0.00115835011978245,0.0503666666666667,0.0718166666666667
"II","MR-PCA","Ichino-Yaguchi",40,0.892172326741041,0.00297908440522862,0.000595816881045724,0.887229551217039,0.897642452670723,0.0809851098715348,0.00441215725109783,0.000882431450219566,0.0726824881676809,0.0883941430020285,0.903068741342993,0.00274817357470269,0.000549634714940538,0.898122874584398,0.908234599496225,0.112299745147381,0.00499935905646911,0.000999871811293822,0.102729244104257,0.120740857342703,0.40876625,0.00648051541762883,0.00129610308352577,0.3989875,0.4195375,0.0992,0.00667247265082755,0.00133449453016551,0.08805,0.1094625
"III","MR-PCA","Ichino-Yaguchi",40,0.543798727598566,0.00512014216602807,0.00102402843320561,0.536409498207886,0.553245161290323,0.00180476702508961,0.00512225087380203,0.00102445017476041,-0.00797114695340497,0.0114313620071685,0.503504893084574,0.00579543758815565,0.00115908751763113,0.495946226016382,0.513827962632955,0.00353341456238916,0.0106534190385852,0.00213068380771703,-0.0124904412836838,0.0235569711999862,0.202525,0.00426361178071675,0.00085272235614335,0.1958,0.210475,0.001505,0.00491761290329634,0.000983522580659268,-0.005875,0.010525
"IV","MR-PCA","Ichino-Yaguchi",40,0.91651652651357,0.0194675850503343,0.00389351701006685,0.880748973556019,0.950284463465553,0.047077462769659,0.0134361756637203,0.00268723513274406,0.0253140542797495,0.0702043562978427,0.892098061777461,0.0167659209381337,0.00335318418762674,0.865704099143718,0.924070736613213,0.0718888316146781,0.0155032231960382,0.00310064463920765,0.0436988729606498,0.0975386308252614,0.556735066666667,0.041748310246577,0.0083496620493154,0.492366666666667,0.635526,0.1035026,0.00970606531781568,0.00194121306356314,0.0859633333333333,0.123713
"I","SPCA","Ichino-Yaguchi",40,0.925013152400835,0.00498731960002823,0.000997463920005645,0.915322407794015,0.93561851078636,0.0181369798190675,0.00367361682579741,0.000734723365159483,0.0110077940153097,0.0232317327766179,0.907153983445064,0.00391794614379854,0.000783589228759707,0.898696749376292,0.914700216513713,0.0548629631662364,0.0036296997473321,0.00072593994946642,0.0492947369082157,0.0623122214675298,0.58144,0.0140863639079837,0.00281727278159675,0.5548,0.60885,0.120553333333333,0.0074550691180939,0.00149101382361878,0.107583333333333,0.132966666666667
"II","SPCA","Ichino-Yaguchi",40,0.89261220250169,0.00308750811927544,0.000617501623855089,0.887335784313726,0.898194295131846,0.0802577180527383,0.0044528551879097,0.00089057103758194,0.0717382437457742,0.087628059499662,0.903611984728688,0.00271509005750954,0.000543018011501908,0.898908120518476,0.908728110331875,0.111354225770402,0.00494295660156052,0.000988591320312104,0.101715132393015,0.119353852927202,0.40933375,0.00647171656010791,0.00129434331202158,0.399675,0.41998125,0.10017125,0.00672002240858429,0.00134400448171686,0.0888,0.11275625
"III","SPCA","Ichino-Yaguchi",40,0.784957258064516,0.0163353472612674,0.00326706945225347,0.760024820788531,0.81636747311828,0.0560650537634408,0.0110016151775853,0.00220032303551706,0.0344485663082438,0.0737252688172042,0.777140971715254,0.011757820363547,0.0023515640727094,0.760983172216977,0.803246424130391,0.109707493386715,0.0128562195131476,0.00257124390262952,0.0860371051831925,0.128945674414553,0.44581,0.0208006447716571,0.00416012895433142,0.417025,0.4854,0.063065,0.0123397604312239,0.00246795208624479,0.0429,0.08515
