"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","rep","dr_input","eval_geom"
"MR-PCA","Hausdorff",0.918368706182282,0.115728489483748,0.923153304324232,0.118181700024276,0.367,0.08625,FALSE,0,2,"raw","std"
"MR-PCA","Ichino-Yaguchi",0.918661089866157,0.115662842574888,0.923678067190671,0.117657693327335,0.366875,0.08525,FALSE,0,2,"raw","std"
"MR-PCA","Wasserstein",0.91867017208413,0.11570108349267,0.923504187869694,0.118026970599891,0.366875,0.084375,FALSE,0,2,"raw","std"
"MR-PCA","Centers-Euclidean",0.91864292543021,0.115721159974506,0.923690011725958,0.117655513529079,0.366875,0.08375,FALSE,0,2,"raw","std"
"SPCA","Int-Euclidean",0.919002868068834,0.116332695984704,0.923845001523428,0.118520531345337,0.36675,0.093375,FALSE,0,2,"raw","std"
"SPCA","Hausdorff",0.917711679413639,0.116544136392607,0.923357931979206,0.117425102328115,0.362,0.076625,FALSE,0,2,"raw","std"
"SPCA","Ichino-Yaguchi",0.918347992351816,0.11621223709369,0.923403957240129,0.118225405597719,0.36475,0.08375,FALSE,0,2,"raw","std"
"SPCA","Wasserstein",0.918395634161887,0.11614913957935,0.923489688543465,0.118037898805841,0.365125,0.082375,FALSE,0,2,"raw","std"
"SPCA","Centers-Euclidean",0.918352374123646,0.116204110898662,0.923343244463585,0.118328215648111,0.365125,0.083625,FALSE,0,2,"raw","std"
"IMDS","Int-Euclidean",0.570651688973869,-0.0426698534098151,0.572425357476678,-0.04496589325838,0.039,0.000749999999999997,TRUE,0,2,"raw","std"
"IMDS","Hausdorff",0.609709528362014,-0.0154305289993627,0.620012085064249,-0.0352434285757179,0.05225,-0.0065,TRUE,0,2,"raw","std"
"IMDS","Ichino-Yaguchi",0.613502868068834,-0.00922657743785849,0.623221677635176,-0.02199591856127,0.05375,-0.00425,TRUE,0,2,"raw","std"
"IMDS","Wasserstein",0.605968769917145,-0.026004142766093,0.61403942089017,-0.0422737332305659,0.053875,-0.00525,TRUE,0,2,"raw","std"
"IMDS","Centers-Euclidean",0.598139340344168,-0.0532232313575525,0.60026691322569,-0.0621551374488402,0.049,-0.006125,TRUE,0,2,"raw","std"
"Int-UMAP","Int-Euclidean",0.819012189292543,0.0185348948374761,0.885886806202757,0.0151762049793399,0.512625,-0.017125,FALSE,0,2,"raw","std"
"Int-UMAP","Hausdorff",0.818295968769917,0.0145479604843849,0.885016076385317,0.0101760160435881,0.50625,-0.025875,FALSE,0,2,"raw","std"
"Int-UMAP","Ichino-Yaguchi",0.818478648820905,0.017289356277884,0.887107961300499,0.0111350296096016,0.5115,-0.025875,FALSE,0,2,"raw","std"
"Int-UMAP","Wasserstein",0.817971956660293,0.0167657743785851,0.88638751324043,0.0110036501704857,0.510625,-0.0215,FALSE,0,2,"raw","std"
"Int-UMAP","Centers-Euclidean",0.817781628425749,0.0175160930528999,0.885621389642499,0.0129045020617454,0.510625,-0.021125,FALSE,0,2,"raw","std"
"C-PCA","Int-Euclidean",0.910711998087954,0.13216459528362,0.911771484745848,0.141834276348775,0.349375,0.119375,FALSE,0,3,"raw","std"
