"Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","replication","max_abs_mean_delta"
"IMDS","Hausdorff",0.548327920328061,-0.0515152665495021,0.546670668912346,-0.0596995788814683,0.0538333333333333,0.00286,0.548244545987112,-0.0516791095489162,0.546438719923093,-0.0601642362887776,0.05384,0.00282,51,0.000464657407309318
"IMDS","Ichino-Yaguchi",0.552323714118336,-0.0429050029291154,0.552700845491671,-0.0527066718371935,0.056,0.00322666666666667,0.552197293497364,-0.0431553602811951,0.552561209642296,-0.0529853385474596,0.056,0.00315333333333333,51,0.000278666710266121
"IMDS","Int-Euclidean",0.519154141769186,-0.00206959578207382,0.524850488045229,-0.0287258255380119,0.048,-0.00766666666666667,0.516526502636204,0.00381185705916814,0.523454707459176,-0.0252876263060071,0.04748,-0.0083,51,0.00588145284124196
"IMDS","Wasserstein",0.550321593438782,-0.0448830931458699,0.549196450635976,-0.0587258343807181,0.057,0.00052,0.550247955477446,-0.0450259636789689,0.54905712101136,-0.0590026569875878,0.057,0.000473333333333334,51,0.00027682260686971
"Int-UMAP","Centers-Euclidean",0.814143444639719,-0.00510469830111304,0.828877871634302,0.0184268511844698,0.300333333333333,0.02468,0.814143561804335,-0.00510465143526653,0.82887758120667,0.0184260064603952,0.300333333333333,0.0246533333333333,51,2.66666666666679e-05
"Int-UMAP","Hausdorff",0.825499050966608,0.0109228353837141,0.841585758883043,0.0172731084860351,0.301,0.0198466666666667,0.82549885178676,0.0109227650849443,0.841585029421188,0.0172725567994193,0.301,0.01984,51,6.66666666666871e-06
"Int-UMAP","Ichino-Yaguchi",0.819146198008202,-0.00528374926772114,0.840446688797995,0.0113487041981208,0.304666666666667,0.00714,0.819146362038664,-0.00528314001171645,0.840446325479444,0.0113491021813083,0.304666666666667,0.00714,51,6.09256004684838e-07
"Int-UMAP","Int-Euclidean",0.803204522554189,-0.0123877680140598,0.818868730701676,0.0123603636747155,0.290333333333333,0.0246666666666667,0.803204299941418,-0.01238769771529,0.818868618847584,0.01236016618761,0.290333333333333,0.0246666666666667,51,2.22612770883757e-07
"Int-UMAP","Wasserstein",0.817203257176333,-0.0052886233157587,0.837006658573134,0.0140877193079416,0.303333333333333,0.0163733333333333,0.817203315758641,-0.00528831868775634,0.837005891145979,0.0140864958519878,0.303333333333333,0.0163333333333333,51,3.99999999999984e-05
"MR-PCA","Centers-Euclidean",0.910978019917985,0.0739814879906268,0.907209558996126,0.0809710908291772,0.322,0.0579866666666667,0.910977879320445,0.0739815817223199,0.907209531884634,0.080971629742995,0.322,0.05798,51,6.66666666666177e-06
"MR-PCA","Hausdorff",0.925104053895723,0.0548899589923843,0.922371708482995,0.0600313002631473,0.364333333333333,0.0655333333333333,0.925104487404804,0.0548903104862332,0.922372073966167,0.0600320225710076,0.364333333333333,0.06552,51,1.33333333333235e-05
"MR-PCA","Ichino-Yaguchi",0.913948787346221,0.0687465495020504,0.912844590758482,0.0704078916854459,0.326666666666667,0.0533466666666667,0.913986701816052,0.0686746104276509,0.912878734734626,0.0703451328194432,0.326853333333333,0.0535733333333333,51,0.000226666666666667
"MR-PCA","Int-Euclidean",0.909311517281781,0.075802272993556,0.901776076795219,0.0905325690533223,0.313666666666667,0.0639533333333333,0.90931129466901,0.0758023901581723,0.901776387379923,0.0905328952202256,0.313666666666667,0.0639733333333333,51,1.99999999999922e-05
"MR-PCA","Wasserstein",0.913353403632103,0.0699440656121851,0.911708060326293,0.0730466480693502,0.324,0.05518,0.91335338019918,0.0699441124780316,0.91170793024947,0.0730473103204974,0.324,0.05518,51,6.62251147282023e-07
"SPCA","Centers-Euclidean",0.910978125366139,0.0739815582893966,0.907210635104346,0.0809704911831618,0.322,0.0579933333333333,0.91097805506737,0.0739817926186292,0.907209906317975,0.0809714172110074,0.322,0.05806,51,6.66666666666663e-05
"SPCA","Hausdorff",0.932787498535442,0.0495983362624487,0.928843737391276,0.0575214600965974,0.389333333333333,0.06066,0.93278755711775,0.0495976098418278,0.928843601603539,0.0575222244073122,0.389333333333333,0.06072,51,6.00000000000045e-05
"SPCA","Ichino-Yaguchi",0.919416063268893,0.0613243585237258,0.916465655604533,0.0669302906133906,0.339846666666667,0.05384,0.919408049209139,0.0613366842413591,0.916461448717754,0.0669318500000691,0.33984,0.0537666666666667,51,7.3333333333335e-05
"SPCA","Int-Euclidean",0.935076637375513,0.0333205155243117,0.925093684097084,0.0506224595526788,0.38,0.062,0.935076613942589,0.0333206561218512,0.92509381652275,0.0506229244088321,0.38,0.062,51,4.64856153271909e-07
