"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Int-Euclidean",0.001,0.364,0.001,0.305,0.001,0.001,3,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"IMDS","Int-Euclidean",0.007,0.148,0.001,0.022,0.001,0.999,3,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.603,3,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.928,3,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.545,3,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.225,3,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"Int-UMAP","Hausdorff",0.001,0.001,0.001,0.148,0.001,0.026,3,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"Int-UMAP","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.035,3,"minP"
