"rep","err_C","err_R","t1_maxcor","F_radii","F_centers","F_diff","eig_share","eig_share_null"
1,8.99280649946377e-15,7.105427357601e-15,0.399207895549535,113411.633176439,0.800816923904163,113410.832359515,0.443055433112524,0.432317897364762
2,1.2712053631958e-14,1.4210854715202e-14,0.687628333730045,121174.147261799,0.220434959159133,121173.92682684,0.457223696805242,0.44058009298007
3,1.33226762955019e-14,1.4210854715202e-14,0.711632785599501,130025.857732225,3.33307079138781,130022.524661434,0.456860097065172,0.463525114755437
4,1.3988810110277e-14,1.59872115546023e-14,0.745660855927059,141118.81571156,0.35917807490422,141118.456533485,0.424360901147729,0.450555532396043
5,9.65894031423886e-15,7.105427357601e-15,0.229754211812325,144792.152255981,0.887316729554525,144791.264939252,0.455626978757457,0.450118728380117
6,5.32907051820075e-15,5.32907051820075e-15,0.914973950166682,137712.533065816,0.661717434324198,137711.871348381,0.47573497530069,0.441805643737242
7,3.13082892944294e-14,3.01980662698043e-14,0.615568848475917,177798.508700839,0.0103814845793932,177798.498319354,0.451758196603474,0.457176351657363
8,1.99840144432528e-14,2.48689957516035e-14,0.284666837048177,116162.884193076,1.24718162477986,116161.637011451,0.468101370226788,0.449079804895893
9,1.06581410364015e-14,8.88178419700125e-15,0.294391773494961,117057.002201154,1.96528468343327,117055.03691647,0.449540438556397,0.451688224947272
10,4.81836792687318e-14,6.75015598972095e-14,0.295713103427207,149220.502036653,0.445239077732474,149220.056797575,0.447517120229175,0.437720307523891
11,1.41109346429857e-13,3.73034936274053e-14,0.53769578161317,142120.09291806,0.148906771222793,142119.944011289,0.425390274447685,0.431313884676812
12,1.50990331349021e-14,2.8421709430404e-14,0.655280669412771,139685.7185507,0.960402705311152,139684.758147994,0.448643046933602,0.46475188200021
13,2.8199664825479e-14,2.30926389122033e-14,0.597623009624633,148727.220704723,0.996332810121328,148726.224371913,0.437571159407839,0.42721271676988
14,1.79856129989275e-14,1.77635683940025e-14,0.151785788305679,132026.627716856,0.897799539626865,132025.729917317,0.459502822768078,0.448973428889286
15,4.9960036108132e-15,1.06581410364015e-14,0.727448348699024,135250.748838354,0.834533235667085,135249.914305118,0.45242128574388,0.446412473016511
16,8.21565038222616e-15,7.105427357601e-15,0.310746293469646,145645.632914038,0.349528350128423,145645.283385688,0.443859520103962,0.473698144013605
17,1.62370117351429e-14,1.4210854715202e-14,0.689900196811374,149964.768226657,0.792052324291339,149963.976174333,0.430476059034722,0.434662424769508
18,3.99680288865056e-15,8.88178419700125e-15,0.791967260677578,125039.631331076,0.0970628438908126,125039.534268232,0.470970703534855,0.43219463122769
19,4.44089209850063e-15,7.105427357601e-15,0.222579168170921,138649.307453268,0.121376607735447,138649.186076661,0.448351082897822,0.456782135879292
20,2.88657986402541e-15,3.5527136788005e-15,0.714001789299533,116046.764726425,2.76898257344473,116043.995743852,0.447635968362747,0.445715469222951
21,9.15933995315754e-15,7.105427357601e-15,0.64522140759536,118453.077138229,0.0660862678787358,118453.011051961,0.451426529528358,0.443572259153554
22,2.74780198594726e-15,3.5527136788005e-15,0.862608007848261,117945.143760343,0.747518595827725,117944.396241747,0.443057477784159,0.435767555138234
23,7.7715611723761e-15,1.77635683940025e-14,0.545163325784869,128826.204465783,0.150616897586832,128826.053848886,0.438457170543457,0.445231643672608
24,5.77315972805081e-15,8.88178419700125e-15,0.0753150817725191,118600.178426402,0.147619895579059,118600.030806506,0.457716499301419,0.456335923489206
25,5.77315972805081e-15,7.105427357601e-15,0.85645921556216,164266.630549444,1.21673272400044,164265.41381672,0.45228205885205,0.457180172700044
