"Method","Metric","dataset.mean","dataset.sd","dataset.mcse","dQ_TC.mean","dQ_TC.sd","dQ_TC.mcse","dB_TC.mean","dB_TC.sd","dB_TC.mcse","dQ_RE.mean","dQ_RE.sd","dQ_RE.mcse","dB_RE.mean","dB_RE.sd","dB_RE.mcse","dQ_LC.mean","dQ_LC.sd","dQ_LC.mcse","dB_LC.mean","dB_LC.sd","dB_LC.mcse","flip_TC.mean","flip_TC.sd","flip_TC.mcse","flip_RE.mean","flip_RE.sd","flip_RE.mcse","flip_LC.mean","flip_LC.sd","flip_LC.mcse"
"MR-PCA","Ichino-Yaguchi",50.5,29.011491975882,2.9011491975882,0.00576323468834689,0.00146957180652667,0.000146957180652667,0.0100317235772358,0.00274572511545552,0.000274572511545552,0.00752954589231925,0.00223084430499955,0.000223084430499955,0.0133661069132231,0.00389979311824141,0.000389979311824141,0.00567775,0.00166348246963041,0.000166348246963041,0.0053981,0.00187634581734355,0.000187634581734355,0.35,0.168959979721456,0.0168959979721456,0.3175,0.154895696414319,0.0154895696414319,0.4554,0.125532562478523,0.0125532562478523
"SPCA","Ichino-Yaguchi",50.5,29.011491975882,2.9011491975882,0.122937087262873,0.00499714799858002,0.000499714799858002,0.0793863403794038,0.00870027598276711,0.000870027598276711,0.130375974160626,0.00463620361485766,0.000463620361485766,0.0949597908798679,0.00872838304099063,0.000872838304099063,0.1190115,0.0122379617513818,0.00122379617513818,0.0365008,0.0110281645798383,0.00110281645798383,0.0148,0.0559306930427509,0.00559306930427509,0.01,0.0365148371670111,0.00365148371670111,0.3135,0.0965084912786895,0.00965084912786895
"V-PCA","Ichino-Yaguchi",50.5,29.011491975882,2.9011491975882,0.122415231300813,0.00590897242341734,0.000590897242341734,0.0793561341463415,0.00899631854934045,0.000899631854934045,0.129992955923397,0.00537776854875386,0.000537776854875386,0.0947367584914257,0.00870859394756714,0.000870859394756714,0.1177521,0.013396037616709,0.0013396037616709,0.03580855,0.0121413955543659,0.00121413955543659,0.0133,0.0410728596274937,0.00410728596274937,0.0107,0.0327911973898884,0.00327911973898884,0.3143,0.0988546019324964,0.00988546019324964
"C-PCA","Int-Euclidean",50.5,29.011491975882,2.9011491975882,0.0508315422764228,0.0106224545811276,0.00106224545811276,0.0208511533875339,0.00417297688238826,0.000417297688238826,0.0447599342731309,0.00956956396315909,0.000956956396315909,0.0176329805537472,0.00575780237956975,0.000575780237956975,0.315999,0.0582597252383539,0.00582597252383539,0.10970505,0.0293922804963353,0.00293922804963353,0.4942,0.130725867850447,0.0130725867850447,0.5214,0.116800961667551,0.0116800961667551,0.4978,0.0915255663349279,0.00915255663349279
"IMDS","Int-Euclidean",50.5,29.011491975882,2.9011491975882,0.0297859127371274,0.00618112305473898,0.000618112305473898,0.0583792265582656,0.0134609942699721,0.00134609942699721,0.0386148011238636,0.0081902797506615,0.00081902797506615,0.0770182802842069,0.015717075017902,0.0015717075017902,0.01190135,0.00428840637296618,0.000428840637296618,0.0096932,0.00444203551939373,0.000444203551939373,0.3128,0.146956188070191,0.0146956188070191,0.3266,0.157481568586436,0.0157481568586436,0.419,0.163747156656631,0.0163747156656631
"Int-UMAP","Int-Euclidean",50.5,29.011491975882,2.9011491975882,0.036077654200542,0.0140654501441705,0.00140654501441705,0.0577742574525745,0.0225427471716372,0.00225427471716372,0.0375935417846734,0.0126312399962731,0.00126312399962731,0.0639082408690877,0.0203804900581428,0.00203804900581428,0.0198883,0.0167111291807271,0.00167111291807271,0.0128302,0.0119373492252364,0.00119373492252364,0.1902,0.208709260828444,0.0208709260828444,0.1798,0.190284104443961,0.0190284104443961,0.2773,0.206078611067219,0.0206078611067219
"MR-PCA","Int-Euclidean",50.5,29.011491975882,2.9011491975882,0.01817607899729,0.00545015700858168,0.000545015700858168,0.0356262723577236,0.0111177809366838,0.00111177809366838,0.0227620500217698,0.00551115982118187,0.000551115982118187,0.044900018177397,0.0112692427036069,0.00112692427036069,0.0051451,0.00177329374243798,0.000177329374243798,0.0053997,0.00173068238716771,0.000173068238716771,0.3237,0.181066732494298,0.0181066732494298,0.3212,0.173165886485833,0.0173165886485833,0.3909,0.178671274250855,0.0178671274250855
"SPCA","Int-Euclidean",50.5,29.011491975882,2.9011491975882,0.0508315422764228,0.0106224545811276,0.00106224545811276,0.0208511533875339,0.00417297688238826,0.000417297688238826,0.0447599342731309,0.00956956396315909,0.000956956396315909,0.0176329805537472,0.00575780237956975,0.000575780237956975,0.315999,0.0582597252383539,0.00582597252383539,0.10970505,0.0293922804963353,0.00293922804963353,0.4942,0.130725867850447,0.0130725867850447,0.5214,0.116800961667551,0.0116800961667551,0.4978,0.0915255663349279,0.00915255663349279
"V-PCA","Int-Euclidean",50.5,29.011491975882,2.9011491975882,0.0507380123306233,0.0105203592869565,0.00105203592869565,0.0209899151761518,0.00419038157781337,0.000419038157781337,0.0448369798690814,0.00968384625620434,0.000968384625620434,0.0178063161565078,0.00602997167412759,0.000602997167412759,0.31395415,0.0600570036204451,0.00600570036204451,0.11001685,0.0313418725119134,0.00313418725119134,0.4925,0.130982109966641,0.0130982109966641,0.5219,0.118872608155525,0.0118872608155525,0.4892,0.0948862157502023,0.00948862157502023
"C-PCA","Wasserstein",50.5,29.011491975882,2.9011491975882,0.121980024661247,0.00532577815153976,0.000532577815153976,0.0769461837398374,0.00852959412913159,0.000852959412913159,0.128928197961388,0.00484334826293309,0.000484334826293309,0.0912747127592398,0.00892164959460153,0.000892164959460153,0.1177306,0.012260470010929,0.0012260470010929,0.03550725,0.0116715394234277,0.00116715394234277,0.0119,0.0364510187467616,0.00364510187467616,0.0091,0.0330318181470686,0.00330318181470686,0.2761,0.0899595307442028,0.00899595307442028
"IMDS","Wasserstein",50.5,29.011491975882,2.9011491975882,0.00545483035230352,0.000919098172994901,9.19098172994901e-05,0.00889886016260163,0.00201881284799485,0.000201881284799485,0.00620366493363364,0.00117235680057144,0.000117235680057144,0.0112832607141038,0.00296741385227784,0.000296741385227784,0.0050742,0.00153080798629648,0.000153080798629648,0.0051887,0.00138307895068878,0.000138307895068878,0.3475,0.149891374809974,0.0149891374809974,0.3579,0.155474477427368,0.0155474477427368,0.4718,0.131382547308894,0.0131382547308894
"Int-UMAP","Wasserstein",50.5,29.011491975882,2.9011491975882,0.158237100406504,0.00662386147743233,0.000662386147743233,0.0644462821138211,0.0109954116066286,0.00109954116066286,0.170339857835821,0.00629493039297476,0.000629493039297476,0.076509745802519,0.0112983843552686,0.00112983843552686,0.27555495,0.0219262339930661,0.00219262339930661,0.0220596,0.0102859380739243,0.00102859380739243,0.8588,0.348286657739851,0.0348286657739851,0.979,0.140622713224953,0.0140622713224953,0.6316,0.153423688792925,0.0153423688792925
"MR-PCA","Wasserstein",50.5,29.011491975882,2.9011491975882,0.00903200460704606,0.0032186110082359,0.00032186110082359,0.0110447241192412,0.00410266574482793,0.000410266574482793,0.0117941173613103,0.0042779257705039,0.00042779257705039,0.0147731499182588,0.00552184628577956,0.000552184628577956,0.00630445,0.00198115144753772,0.000198115144753772,0.00589215,0.00197736487426059,0.000197736487426059,0.0537,0.142188202212718,0.0142188202212718,0.0183,0.0363777876504803,0.00363777876504803,0.414,0.185483261789414,0.0185483261789414
"SPCA","Wasserstein",50.5,29.011491975882,2.9011491975882,0.121980024661247,0.00532577815153976,0.000532577815153976,0.0769461837398374,0.00852959412913159,0.000852959412913159,0.128928197961388,0.00484334826293309,0.000484334826293309,0.0912747127592398,0.00892164959460153,0.000892164959460153,0.1177306,0.012260470010929,0.0012260470010929,0.03550725,0.0116715394234277,0.00116715394234277,0.0119,0.0364510187467616,0.00364510187467616,0.0091,0.0330318181470686,0.00330318181470686,0.2761,0.0899595307442028,0.00899595307442028
"V-PCA","Wasserstein",50.5,29.011491975882,2.9011491975882,0.121494499186992,0.00625959703158342,0.000625959703158342,0.0768185777777778,0.00889511805541432,0.000889511805541432,0.12856446975382,0.00571781260666136,0.000571781260666136,0.0909506700727263,0.00910669712427287,0.000910669712427287,0.11644925,0.0138440429586851,0.00138440429586851,0.0354417,0.0120703576143954,0.00120703576143954,0.012,0.0370639632761713,0.00370639632761713,0.0094,0.0295699820490956,0.00295699820490956,0.2719,0.0865931506377597,0.00865931506377597
