"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","rep"
"SPCA","Int-Euclidean",0.938250732278852,0.0485483304042179,0.93127642084711,0.0569886056510726,0.356,0.063,FALSE,0,2
"SPCA","Hausdorff",0.950895723491506,0.0325916813122437,0.942108904067844,0.0422162892166729,0.378666666666667,0.0916666666666667,FALSE,0,2
"SPCA","Ichino-Yaguchi",0.933039250146456,0.0561405975395431,0.926029205800631,0.0678539841994964,0.373333333333333,0.085,FALSE,0,2
"SPCA","Wasserstein",0.929138254247217,0.0572782659636789,0.922746796322847,0.0704611333125468,0.355333333333333,0.0876666666666667,FALSE,0,2
"SPCA","Centers-Euclidean",0.83970474516696,0.14184417106034,0.84151105192434,0.151688861705755,0.220333333333333,0.046,FALSE,0,2
"IMDS","Int-Euclidean",0.511504979496192,-0.0460046865846514,0.494810985619395,-0.0317351784499565,0.0356666666666667,0.002,FALSE,0,2
"IMDS","Hausdorff",0.591366725248975,-0.100973637961336,0.59217088821453,-0.116562488534034,0.063,-0.000333333333333335,TRUE,0,2
"IMDS","Ichino-Yaguchi",0.579210310486233,-0.0807896895137667,0.580654632756731,-0.0923435781304524,0.0613333333333333,-0.00333333333333333,FALSE,0,2
"IMDS","Wasserstein",0.574132396016403,-0.0910861159929701,0.577966548318711,-0.102747037347999,0.0586666666666667,0.000666666666666666,FALSE,0,2
"IMDS","Centers-Euclidean",0.51116813122437,-0.00911540714704162,0.505034739860939,-0.00581963212806941,0.0373333333333333,0.00366666666666667,FALSE,0,2
"Int-UMAP","Int-Euclidean",0.781743995313415,-0.0977867603983597,0.786605001072332,-0.0893520706593634,0.173,0.00266666666666668,FALSE,0,2
"Int-UMAP","Hausdorff",0.902572349150557,-0.00384417106033985,0.903375134310115,0.00110537665706713,0.291333333333333,0.00633333333333333,FALSE,0,2
"Int-UMAP","Ichino-Yaguchi",0.871958406561218,0.0251142355008788,0.879933977530622,0.0316425280744408,0.298666666666667,0.0106666666666667,FALSE,0,2
"Int-UMAP","Wasserstein",0.852158172231986,0.0111353251318101,0.864465932015862,0.0196141786039362,0.272,0.00833333333333333,FALSE,0,2
"Int-UMAP","Centers-Euclidean",0.601982425307557,-0.0833930872876392,0.612676092285307,-0.0956875795133533,0.120666666666667,-0.013,FALSE,0,2
"C-PCA","Int-Euclidean",0.934613356766257,0.0522331575864089,0.92710563871435,0.0631088391292206,0.373,0.0763333333333333,FALSE,0,3
"C-PCA","Hausdorff",0.949100175746924,0.032241359109549,0.941533628458653,0.0390930530563908,0.384333333333333,0.0603333333333333,FALSE,0,3
"C-PCA","Ichino-Yaguchi",0.926312243702402,0.0591435266549502,0.922410943125279,0.0677359509585969,0.361,0.0606666666666666,FALSE,0,3
"C-PCA","Wasserstein",0.923294669009959,0.0574364381956649,0.918923131091738,0.0686072154333471,0.343,0.0663333333333333,FALSE,0,3
"C-PCA","Centers-Euclidean",0.841231400117165,0.136787346221441,0.838968443820338,0.15377494514375,0.224,0.04,FALSE,0,3
"V-PCA","Int-Euclidean",0.934125951962507,0.0532173403632102,0.926373152530695,0.0645748554271265,0.370666666666667,0.074,FALSE,0,3
"V-PCA","Hausdorff",0.948956063268893,0.0326654950205039,0.941075060452025,0.0401942831597261,0.381333333333333,0.0553333333333333,FALSE,0,3
"V-PCA","Ichino-Yaguchi",0.926568834212068,0.0588318687756297,0.921189131362239,0.0701774252158058,0.362,0.061,FALSE,0,3
"V-PCA","Wasserstein",0.923333333333333,0.0572794376098418,0.918158754363592,0.070066261959338,0.342333333333333,0.0676666666666667,FALSE,0,3
"V-PCA","Centers-Euclidean",0.840555360281195,0.138291739894552,0.838308561474386,0.154919915939024,0.225333333333333,0.039,FALSE,0,3
"MR-PCA","Int-Euclidean",0.737714118336262,0.223329818394845,0.742147162588966,0.253463646575455,0.146666666666667,0.026,FALSE,0,3
"MR-PCA","Hausdorff",0.752144112478032,0.200777973052138,0.769014032115911,0.207501393570585,0.165333333333333,0.0356666666666667,FALSE,0,3
"MR-PCA","Ichino-Yaguchi",0.720019332161687,0.262206209724663,0.729415417288995,0.281022545369915,0.151333333333333,0.038,FALSE,0,3
"MR-PCA","Wasserstein",0.748770943175161,0.234458113649678,0.752349613738004,0.255778806765837,0.166333333333333,0.037,FALSE,0,3
"MR-PCA","Centers-Euclidean",0.841231400117165,0.136787346221441,0.838968443820338,0.15377494514375,0.224,0.04,FALSE,0,3
"SPCA","Int-Euclidean",0.934613356766257,0.0522331575864089,0.92710563871435,0.0631088391292206,0.373,0.0763333333333333,FALSE,0,3
"SPCA","Hausdorff",0.949100175746924,0.032241359109549,0.941533628458653,0.0390930530563908,0.384333333333333,0.0603333333333333,FALSE,0,3
"SPCA","Ichino-Yaguchi",0.926312243702402,0.0591435266549502,0.922410943125279,0.0677359509585969,0.361,0.0606666666666666,FALSE,0,3
"SPCA","Wasserstein",0.923294669009959,0.0574364381956649,0.918923131091738,0.0686072154333471,0.343,0.0663333333333333,FALSE,0,3
"SPCA","Centers-Euclidean",0.841231400117165,0.136787346221441,0.838968443820338,0.15377494514375,0.224,0.04,FALSE,0,3
"IMDS","Int-Euclidean",0.517517867603984,-0.0775547744581137,0.502090208499038,-0.0659576259360257,0.034,0.00133333333333333,TRUE,0,3
"IMDS","Hausdorff",0.585106033977739,-0.107693028705331,0.589978127351243,-0.122642708766545,0.0553333333333333,0.00133333333333333,TRUE,0,3
"IMDS","Ichino-Yaguchi",0.567551845342706,-0.0837715289982425,0.575312136783156,-0.098946681705408,0.0566666666666667,-0.000999999999999997,FALSE,0,3
"IMDS","Wasserstein",0.562031634446397,-0.0844405389572349,0.570987846959161,-0.0957645494372523,0.053,0.00333333333333333,FALSE,0,3
"IMDS","Centers-Euclidean",0.49965553602812,-0.00461628588166385,0.499502160245496,-0.0079800203965617,0.0376666666666667,0.003,FALSE,0,3
"Int-UMAP","Int-Euclidean",0.765707088459285,-0.105534856473345,0.773837394453627,-0.0971991541705872,0.157333333333333,-0.00133333333333333,FALSE,0,3
"Int-UMAP","Hausdorff",0.897288810779145,-0.00124897480960751,0.898201847204484,0.00609287789097772,0.26,0.00833333333333333,FALSE,0,3
"Int-UMAP","Ichino-Yaguchi",0.860701230228471,0.0333181019332163,0.869445437201971,0.041267084576647,0.256666666666667,0.0153333333333333,FALSE,0,3
"Int-UMAP","Wasserstein",0.845132981839484,0.0116321031048623,0.855405978467703,0.0218287591518555,0.235333333333333,0.0186666666666667,FALSE,0,3
"Int-UMAP","Centers-Euclidean",0.576084358523726,-0.075575864089045,0.59171850319389,-0.0737876642098989,0.101333333333333,0.001,FALSE,0,3
"C-PCA","Int-Euclidean",0.918959578207381,0.0640632688927943,0.914410022624125,0.0725104780695513,0.305333333333333,0.0483333333333333,FALSE,0,4
"C-PCA","Hausdorff",0.942033977738723,0.0334247217340363,0.933939942979897,0.041428646652982,0.335666666666667,0.0513333333333333,FALSE,0,4
"C-PCA","Ichino-Yaguchi",0.917425307557118,0.0682261277094317,0.913448700713235,0.0762758866002758,0.33,0.047,FALSE,0,4
"C-PCA","Wasserstein",0.911915641476274,0.063219683655536,0.908674267248996,0.0740907280080284,0.313333333333333,0.055,FALSE,0,4
"C-PCA","Centers-Euclidean",0.820990041007616,0.146249560632689,0.822768012677002,0.168837053640992,0.202333333333333,0.057,FALSE,0,4
"V-PCA","Int-Euclidean",0.919615700058582,0.0627346221441125,0.913488239584528,0.0742767625808605,0.309666666666667,0.0536666666666667,FALSE,0,4
"V-PCA","Hausdorff",0.94208611599297,0.0332735793790275,0.933903736242952,0.0415448223114988,0.336333333333333,0.05,FALSE,0,4
"V-PCA","Ichino-Yaguchi",0.917023432923257,0.0690415934387816,0.913303798541046,0.076403820294717,0.328666666666667,0.0506666666666667,FALSE,0,4
"V-PCA","Wasserstein",0.911591095489162,0.0637469244288225,0.908701097032888,0.0738798187183818,0.312333333333333,0.0563333333333333,FALSE,0,4
"V-PCA","Centers-Euclidean",0.821240773286467,0.1457129466901,0.823321906898892,0.16777465161503,0.203,0.059,FALSE,0,4
"MR-PCA","Int-Euclidean",0.722341534856473,0.212950205038078,0.72975649167473,0.244244829050992,0.132333333333333,0.028,FALSE,0,4
"MR-PCA","Hausdorff",0.730565905096661,0.197867603983597,0.750461571609878,0.20611292442879,0.139333333333333,0.018,FALSE,0,4
"MR-PCA","Ichino-Yaguchi",0.706957820738137,0.252055067369654,0.716014424971557,0.275647623069822,0.133666666666667,0.0233333333333333,FALSE,0,4
"MR-PCA","Wasserstein",0.73410661980082,0.227472759226714,0.740315156505921,0.249177221495821,0.145666666666667,0.035,FALSE,0,4
"MR-PCA","Centers-Euclidean",0.820990041007616,0.146249560632689,0.822768012677002,0.168837053640992,0.202333333333333,0.057,FALSE,0,4
"SPCA","Int-Euclidean",0.918959578207381,0.0640632688927943,0.914410022624125,0.0725104780695513,0.305333333333333,0.0483333333333333,FALSE,0,4
"SPCA","Hausdorff",0.942033977738723,0.0334247217340363,0.933939942979897,0.041428646652982,0.335666666666667,0.0513333333333333,FALSE,0,4
"SPCA","Ichino-Yaguchi",0.917425307557118,0.0682261277094317,0.913448700713235,0.0762758866002758,0.33,0.047,FALSE,0,4
"SPCA","Wasserstein",0.911915641476274,0.063219683655536,0.908674267248996,0.0740907280080284,0.313333333333333,0.055,FALSE,0,4
"SPCA","Centers-Euclidean",0.820990041007616,0.146249560632689,0.822768012677002,0.168837053640992,0.202333333333333,0.057,FALSE,0,4
"IMDS","Int-Euclidean",0.506558875219684,-0.0661862917398945,0.494767561944615,-0.0609485706057085,0.0263333333333333,-0.00333333333333333,TRUE,0,4
"IMDS","Hausdorff",0.578091974223784,-0.0941101347393087,0.581642994772825,-0.124153437532959,0.0523333333333333,-0.00533333333333333,TRUE,0,4
"IMDS","Ichino-Yaguchi",0.567401288810779,-0.0659402460456943,0.574320036574415,-0.0933025895773049,0.0543333333333333,-0.00466666666666667,FALSE,0,4
"IMDS","Wasserstein",0.558103104862332,-0.0791728178090217,0.566645299096094,-0.107534082414943,0.0496666666666667,-0.00666666666666666,FALSE,0,4
"IMDS","Centers-Euclidean",0.504792032806093,-0.00719859402460465,0.503134249628061,-0.0256211425421216,0.036,-0.002,FALSE,0,4
"Int-UMAP","Int-Euclidean",0.796636789689514,-0.0759074399531341,0.791044385012043,-0.0587371725109125,0.172333333333333,0.0146666666666667,FALSE,0,4
"Int-UMAP","Hausdorff",0.905906268306971,-0.00599414176918578,0.905943361699077,-0.000503476979718434,0.286666666666667,-0.000333333333333338,FALSE,0,4
"Int-UMAP","Ichino-Yaguchi",0.876140597539543,0.0323772700644406,0.881276829208196,0.034536369697581,0.293,0,FALSE,0,4
"Int-UMAP","Wasserstein",0.860847685998828,0.00847685998828351,0.868230145399574,0.0134753339925448,0.272333333333333,0.014,FALSE,0,4
"Int-UMAP","Centers-Euclidean",0.610314001171646,-0.118924428822496,0.610630782013014,-0.126923287834847,0.122333333333333,-0.009,FALSE,0,4
"C-PCA","Int-Euclidean",0.931771528998243,0.0500714704159344,0.924198108551281,0.0611887759652789,0.345333333333333,0.047,FALSE,0,5
"C-PCA","Hausdorff",0.947342706502636,0.0320515524311658,0.937683293103626,0.0416191992960223,0.346666666666667,0.0526666666666667,FALSE,0,5
"C-PCA","Ichino-Yaguchi",0.92694258933802,0.0594973637961336,0.919755783183598,0.0709744708308137,0.342,0.0556666666666667,FALSE,0,5
"C-PCA","Wasserstein",0.92090978324546,0.058721734036321,0.915037172372745,0.0715076276784688,0.322666666666667,0.0583333333333333,FALSE,0,5
"C-PCA","Centers-Euclidean",0.83509021675454,0.138185120093732,0.830690545504397,0.161144210875208,0.202333333333333,0.044,FALSE,0,5
"V-PCA","Int-Euclidean",0.931664323374341,0.0502694786174575,0.925267998476475,0.0588924495109876,0.344666666666667,0.0443333333333333,FALSE,0,5
"V-PCA","Hausdorff",0.947551259519625,0.0317422378441711,0.938058373528499,0.0409116615184001,0.349,0.0556666666666667,FALSE,0,5
"V-PCA","Ichino-Yaguchi",0.92679086115993,0.0599390743995314,0.919279800725931,0.0720726873521514,0.343333333333333,0.0593333333333333,FALSE,0,5
"V-PCA","Wasserstein",0.920915055653193,0.0589009958992384,0.914587223701891,0.0725832523135728,0.325333333333333,0.0606666666666666,FALSE,0,5
"V-PCA","Centers-Euclidean",0.836501464557704,0.135214997070884,0.830807563215755,0.161024295488854,0.205,0.046,FALSE,0,5
"MR-PCA","Int-Euclidean",0.735769771528998,0.222222612770943,0.739978109696534,0.254095854014289,0.133333333333333,0.023,FALSE,0,5
"MR-PCA","Hausdorff",0.743270064440539,0.20679086115993,0.761164497670576,0.208685930870609,0.134,0.0253333333333333,FALSE,0,5
"MR-PCA","Ichino-Yaguchi",0.707890451083773,0.271021675454013,0.715461600778527,0.292258198424494,0.124,0.02,FALSE,0,5
"MR-PCA","Wasserstein",0.738565319273579,0.236980667838313,0.739830542430943,0.259205584168977,0.136,0.0236666666666667,FALSE,0,5
"MR-PCA","Centers-Euclidean",0.83509021675454,0.138185120093732,0.830690545504397,0.161144210875208,0.202333333333333,0.044,FALSE,0,5
"SPCA","Int-Euclidean",0.931771528998243,0.0500714704159344,0.924198108551281,0.0611887759652789,0.345333333333333,0.047,FALSE,0,5
"SPCA","Hausdorff",0.947342706502636,0.0320515524311658,0.937683293103626,0.0416191992960223,0.346666666666667,0.0526666666666667,FALSE,0,5
"SPCA","Ichino-Yaguchi",0.92694258933802,0.0594973637961336,0.919755783183598,0.0709744708308137,0.342,0.0556666666666667,FALSE,0,5
"SPCA","Wasserstein",0.92090978324546,0.058721734036321,0.915037172372745,0.0715076276784688,0.322666666666667,0.0583333333333333,FALSE,0,5
"SPCA","Centers-Euclidean",0.83509021675454,0.138185120093732,0.830690545504397,0.161144210875208,0.202333333333333,0.044,FALSE,0,5
"IMDS","Int-Euclidean",0.526528412419449,-0.0307721148213239,0.510027553626945,-0.0213112167425589,0.0286666666666667,-0.003,FALSE,0,5
"IMDS","Hausdorff",0.582123608670182,-0.11202460456942,0.585742583909376,-0.134250794807305,0.0476666666666667,-0.00233333333333334,TRUE,0,5
"IMDS","Ichino-Yaguchi",0.573490333919156,-0.0925530169888694,0.575427174096766,-0.106973827892382,0.0496666666666667,0.002,FALSE,0,5
"IMDS","Wasserstein",0.567780316344464,-0.103169302870533,0.569921297611871,-0.11434836086777,0.045,0.007,FALSE,0,5
"IMDS","Centers-Euclidean",0.502896895137668,-0.00798476859988284,0.491029685548147,-0.00460226321082646,0.0296666666666667,-0.000666666666666666,FALSE,0,5
"Int-UMAP","Int-Euclidean",0.773486233157586,-0.0897211482132396,0.778772066658653,-0.0764883080540934,0.162333333333333,0.012,FALSE,0,5
"Int-UMAP","Hausdorff",0.887476859988284,-0.0128986526069127,0.886496828369981,-0.00266161158627864,0.244666666666667,0.022,FALSE,0,5
"Int-UMAP","Ichino-Yaguchi",0.854217926186292,0.021518453427065,0.858614605847884,0.0336507956977164,0.251,0.0236666666666667,FALSE,0,5
"Int-UMAP","Wasserstein",0.838436438195665,0.0105623901581723,0.846288184256206,0.0238210945520179,0.239,0.0156666666666667,FALSE,0,5
"Int-UMAP","Centers-Euclidean",0.587115407147042,-0.0785448154657293,0.593281681796752,-0.0792284063340182,0.101333333333333,0.000666666666666663,FALSE,0,5
"C-PCA","Int-Euclidean",0.939374340949033,0.0472595196250731,0.932699616033116,0.0549398734356969,0.35,0.0526666666666667,FALSE,0,6
"C-PCA","Hausdorff",0.951848857644991,0.0315313415348565,0.942220731294875,0.0414502084253489,0.367,0.066,FALSE,0,6
"C-PCA","Ichino-Yaguchi",0.934062097246631,0.0584885764499121,0.92513359701792,0.0711497820871642,0.373666666666667,0.0703333333333333,FALSE,0,6
"C-PCA","Wasserstein",0.929268306971295,0.0583936731107205,0.921348014528444,0.0730509884871342,0.361,0.071,FALSE,0,6
"C-PCA","Centers-Euclidean",0.8506719390744,0.129859402460457,0.847593027648962,0.146076136621653,0.221333333333333,0.0353333333333333,FALSE,0,6
"V-PCA","Int-Euclidean",0.939501464557704,0.0468037492677211,0.932772757188038,0.0547283976601831,0.352,0.057,FALSE,0,6
"V-PCA","Hausdorff",0.951944932630346,0.0311540714704159,0.941879341427173,0.0415830363120511,0.371333333333333,0.0716666666666667,FALSE,0,6
"V-PCA","Ichino-Yaguchi",0.933803749267721,0.0583866432337434,0.925174899057285,0.0707269241828518,0.374333333333333,0.0676666666666667,FALSE,0,6
"V-PCA","Wasserstein",0.929109548916227,0.0580410076157001,0.921284571949309,0.0726847853102999,0.361,0.0696666666666667,FALSE,0,6
"V-PCA","Centers-Euclidean",0.850401288810779,0.130421792618629,0.848188215466661,0.144950932959238,0.220333333333333,0.0323333333333333,FALSE,0,6
"MR-PCA","Int-Euclidean",0.740943175161101,0.223439953134153,0.748555936180838,0.245874036264,0.141666666666667,0.036,FALSE,0,6
"MR-PCA","Hausdorff",0.749687756297598,0.219734036321031,0.763889159594421,0.232207194738958,0.145333333333333,0.035,FALSE,0,6
"MR-PCA","Ichino-Yaguchi",0.722553602811951,0.27697129466901,0.730187874500506,0.294414122354499,0.137333333333333,0.033,FALSE,0,6
"MR-PCA","Wasserstein",0.751971880492091,0.240154657293497,0.756793571782433,0.25744221959295,0.15,0.0306666666666667,FALSE,0,6
"MR-PCA","Centers-Euclidean",0.8506719390744,0.129859402460457,0.847593027648962,0.146076136621653,0.221333333333333,0.0353333333333333,FALSE,0,6
"SPCA","Int-Euclidean",0.939374340949033,0.0472595196250731,0.932699616033116,0.0549398734356969,0.35,0.0526666666666667,FALSE,0,6
"SPCA","Hausdorff",0.951848857644991,0.0315313415348565,0.942220731294875,0.0414502084253489,0.367,0.066,FALSE,0,6
"SPCA","Ichino-Yaguchi",0.934062097246631,0.0584885764499121,0.92513359701792,0.0711497820871642,0.373666666666667,0.0703333333333333,FALSE,0,6
"SPCA","Wasserstein",0.929268306971295,0.0583936731107205,0.921348014528444,0.0730509884871342,0.361,0.071,FALSE,0,6
"SPCA","Centers-Euclidean",0.8506719390744,0.129859402460457,0.847593027648962,0.146076136621653,0.221333333333333,0.0353333333333333,FALSE,0,6
"IMDS","Int-Euclidean",0.47884417106034,-0.103007615700059,0.468767141762551,-0.11267866449959,0.0313333333333333,-0.000333333333333333,FALSE,0,6
"IMDS","Hausdorff",0.571011716461629,-0.0695711775043937,0.571831959259687,-0.101057260667781,0.0526666666666667,-0.00166666666666667,TRUE,0,6
"IMDS","Ichino-Yaguchi",0.564373755125952,-0.0546408904510838,0.565357153219689,-0.0860530519387711,0.0556666666666667,-0.011,FALSE,0,6
"IMDS","Wasserstein",0.555332747510252,-0.0610251903925014,0.558686723029708,-0.0927507064570024,0.0523333333333333,-0.00233333333333333,FALSE,0,6
"IMDS","Centers-Euclidean",0.5056719390744,-0.00283069712946693,0.498455741103984,-0.0152400879173785,0.0306666666666667,0.003,FALSE,0,6
"Int-UMAP","Int-Euclidean",0.802898066783831,-0.0678418277680141,0.803283305262347,-0.0674485046692099,0.177,0.00266666666666668,FALSE,0,6
"Int-UMAP","Hausdorff",0.909861159929701,0.00175629759812534,0.906351722784845,0.00519180305696652,0.298666666666667,0.00533333333333333,FALSE,0,6
"Int-UMAP","Ichino-Yaguchi",0.882551259519625,0.0327416520210896,0.884641434403623,0.03621271651773,0.305666666666667,0.00233333333333333,FALSE,0,6
"Int-UMAP","Wasserstein",0.867095489162273,0.0111985940246047,0.872517848526592,0.0201716068379296,0.292,0.0126666666666667,FALSE,0,6
"Int-UMAP","Centers-Euclidean",0.617850615114235,-0.101081429408319,0.624216750388365,-0.0992119122306141,0.118666666666667,0.00133333333333333,FALSE,0,6
"C-PCA","Int-Euclidean",0.92177855887522,0.0617410661980081,0.915096794626459,0.0728196826358879,0.338333333333333,0.0683333333333333,FALSE,0,7
"C-PCA","Hausdorff",0.947681312243702,0.0339566490919742,0.940588918860955,0.0402034421155069,0.367333333333333,0.056,FALSE,0,7
"C-PCA","Ichino-Yaguchi",0.925496192149971,0.0617270064440538,0.92105307343146,0.0711616306994197,0.361,0.0596666666666666,FALSE,0,7
"C-PCA","Wasserstein",0.920449912126538,0.0619332161687171,0.917107214588991,0.0710823150020656,0.342,0.0656666666666667,FALSE,0,7
"C-PCA","Centers-Euclidean",0.835468072642062,0.138516695957821,0.838857808669936,0.148339134056501,0.222666666666667,0.0443333333333333,FALSE,0,7
"V-PCA","Int-Euclidean",0.921820152314001,0.0612196836555361,0.915840575985636,0.0707734850225896,0.339666666666667,0.0666666666666667,FALSE,0,7
"V-PCA","Hausdorff",0.947449326303456,0.0346502636203867,0.940492591700475,0.0405699016694139,0.367666666666667,0.0566666666666667,FALSE,0,7
"V-PCA","Ichino-Yaguchi",0.92568834212068,0.0617410661980082,0.921804899964583,0.0698155343934449,0.361666666666667,0.0583333333333333,FALSE,0,7
"V-PCA","Wasserstein",0.920371411833626,0.0622565905096661,0.917455657128979,0.0702982954916168,0.340666666666667,0.064,FALSE,0,7
"V-PCA","Centers-Euclidean",0.835810193321617,0.137855887521968,0.838245466616251,0.149467672156053,0.223,0.044,FALSE,0,7
