"IDR","Metric","col","value","star","dagger","qc"
"MR-PCA","Int-Euclidean","B_TC",-0.0170685483126143,FALSE,FALSE,NA
"MR-PCA","Int-Euclidean","Q_RE",0.908665122978527,TRUE,FALSE,0.81705768461738
"MR-PCA","Int-Euclidean","B_RE",-0.0260579168073574,FALSE,FALSE,NA
"MR-PCA","Int-Euclidean","Q_LC",0.178604651162791,TRUE,FALSE,0.165648888562835
"MR-PCA","Int-Euclidean","B_LC",-0.0344186046511628,TRUE,FALSE,NA
"MR-PCA","Hausdorff","Q_TC",0.992472554198915,TRUE,FALSE,0.984840102968935
"MR-PCA","Hausdorff","B_TC",0.00440930725135613,FALSE,FALSE,NA
"MR-PCA","Hausdorff","Q_RE",0.991599874124088,TRUE,FALSE,0.983174680610962
"MR-PCA","Hausdorff","B_RE",0.00394658900949215,FALSE,FALSE,NA
"MR-PCA","Hausdorff","Q_LC",0.656434108527132,TRUE,FALSE,0.651015088156897
"MR-PCA","Hausdorff","B_LC",0.069922480620155,TRUE,FALSE,NA
"MR-PCA","Ichino-Yaguchi","Q_TC",0.985956246805943,TRUE,FALSE,0.971716587807127
"MR-PCA","Ichino-Yaguchi","B_TC",0.00747067624729847,FALSE,FALSE,NA
"MR-PCA","Ichino-Yaguchi","Q_RE",0.986821994456684,TRUE,FALSE,0.973604663138131
"MR-PCA","Ichino-Yaguchi","B_RE",0.00540306261793246,FALSE,FALSE,NA
"MR-PCA","Ichino-Yaguchi","Q_LC",0.551627906976744,TRUE,FALSE,0.544555791944832
"MR-PCA","Ichino-Yaguchi","B_LC",0.087906976744186,TRUE,FALSE,NA
"MR-PCA","Wasserstein","Q_TC",0.992537697569746,TRUE,FALSE,0.984971298439504
"MR-PCA","Wasserstein","B_TC",0.00511640221413578,FALSE,FALSE,NA
"MR-PCA","Wasserstein","Q_RE",0.991209107914483,TRUE,FALSE,0.982391982068086
"MR-PCA","Wasserstein","B_RE",0.00434289904753646,FALSE,FALSE,NA
"MR-PCA","Wasserstein","Q_LC",0.65922480620155,TRUE,FALSE,0.653849803144793
"MR-PCA","Wasserstein","B_LC",0.0916279069767442,TRUE,FALSE,NA
"MR-PCA","Centers-Euclidean","Q_TC",0.995728737585508,TRUE,FALSE,0.991397892444869
"MR-PCA","Centers-Euclidean","B_TC",0.00454870667627194,FALSE,FALSE,NA
"MR-PCA","Centers-Euclidean","Q_RE",0.993197699829941,TRUE,FALSE,0.986375100250634
"MR-PCA","Centers-Euclidean","B_RE",0.00577609018682161,FALSE,FALSE,NA
"MR-PCA","Centers-Euclidean","Q_LC",0.761705426356589,TRUE,FALSE,0.757946836866945
"MR-PCA","Centers-Euclidean","B_LC",0.174108527131783,TRUE,FALSE,NA
"SPCA","Int-Euclidean","Q_TC",0.997971935398464,TRUE,FALSE,0.995915579953137
"SPCA","Int-Euclidean","B_TC",0.000974564530727529,FALSE,FALSE,NA
"SPCA","Int-Euclidean","Q_RE",0.997437428688668,TRUE,FALSE,0.994867210157649
"SPCA","Int-Euclidean","B_RE",0.000706876822178884,FALSE,FALSE,NA
"SPCA","Int-Euclidean","Q_LC",0.818914728682171,TRUE,FALSE,0.816058494118798
"SPCA","Int-Euclidean","B_LC",0.0382945736434109,TRUE,FALSE,NA
"SPCA","Hausdorff","Q_TC",0.996068492897649,TRUE,FALSE,0.992082142545622
"SPCA","Hausdorff","B_TC",0.00278207756863758,FALSE,FALSE,NA
"SPCA","Hausdorff","Q_RE",0.994674185214716,TRUE,FALSE,0.98933247714463
"SPCA","Hausdorff","B_RE",0.0027053757902486,FALSE,FALSE,NA
"SPCA","Hausdorff","Q_LC",0.742635658914729,TRUE,FALSE,0.738576284449661
"SPCA","Hausdorff","B_LC",0.0818604651162791,TRUE,FALSE,NA
"SPCA","Ichino-Yaguchi","Q_TC",0.995992143389302,TRUE,FALSE,0.991928378478037
"SPCA","Ichino-Yaguchi","B_TC",0.00332736083147078,FALSE,FALSE,NA
"SPCA","Ichino-Yaguchi","Q_RE",0.994410186983824,TRUE,FALSE,0.988803692859907
"SPCA","Ichino-Yaguchi","B_RE",0.0035899361013592,FALSE,FALSE,NA
"SPCA","Ichino-Yaguchi","Q_LC",0.756744186046512,TRUE,FALSE,0.752907343555132
"SPCA","Ichino-Yaguchi","B_LC",0.108527131782946,TRUE,FALSE,NA
"SPCA","Wasserstein","Q_TC",0.996874226499437,TRUE,FALSE,0.993704849471763
"SPCA","Wasserstein","B_TC",0.00312959097598065,FALSE,FALSE,NA
"SPCA","Wasserstein","Q_RE",0.995245166023637,TRUE,FALSE,0.990476142682152
"SPCA","Wasserstein","B_RE",0.00333120187022701,FALSE,FALSE,NA
"SPCA","Wasserstein","Q_LC",0.805116279069767,TRUE,FALSE,0.802042403345316
"SPCA","Wasserstein","B_LC",0.122480620155039,TRUE,FALSE,NA
"SPCA","Centers-Euclidean","Q_TC",0.995728737585508,TRUE,FALSE,0.991397892444869
"SPCA","Centers-Euclidean","B_TC",0.00454870667627194,FALSE,FALSE,NA
"SPCA","Centers-Euclidean","Q_RE",0.993197699829941,TRUE,FALSE,0.986375100250634
"SPCA","Centers-Euclidean","B_RE",0.00577609018682161,FALSE,FALSE,NA
"SPCA","Centers-Euclidean","Q_LC",0.761705426356589,TRUE,FALSE,0.757946836866945
"SPCA","Centers-Euclidean","B_LC",0.174108527131783,TRUE,FALSE,NA
"IMDS","Int-Euclidean","Q_TC",0.494057175930202,FALSE,TRUE,-0.0189433865334362
"IMDS","Int-Euclidean","B_TC",-0.0144837480219936,FALSE,TRUE,NA
"IMDS","Int-Euclidean","Q_RE",0.504627111162382,FALSE,TRUE,0.00777593163644885
"IMDS","Int-Euclidean","B_RE",-0.0123782822881291,FALSE,TRUE,NA
"IMDS","Int-Euclidean","Q_LC",0.0151937984496124,FALSE,TRUE,-0.000339422395030935
"IMDS","Int-Euclidean","B_LC",0,FALSE,TRUE,NA
"IMDS","Hausdorff","Q_TC",0.530482019075063,TRUE,TRUE,0.0544144145110026
"IMDS","Hausdorff","B_TC",0.00236332760712021,FALSE,TRUE,NA
"IMDS","Hausdorff","Q_RE",0.529659351097108,TRUE,TRUE,0.057915112661408
"IMDS","Hausdorff","B_RE",-0.00078946902440615,FALSE,TRUE,NA
"IMDS","Hausdorff","Q_LC",0.0333333333333333,TRUE,TRUE,0.0180862250262881
"IMDS","Hausdorff","B_LC",0.00124031007751938,FALSE,TRUE,NA
"IMDS","Ichino-Yaguchi","Q_TC",0.530713313753379,TRUE,TRUE,0.054880230353423
"IMDS","Ichino-Yaguchi","B_TC",0.01004020663625,FALSE,TRUE,NA
"IMDS","Ichino-Yaguchi","Q_RE",0.52988010134708,TRUE,TRUE,0.0583572719237634
"IMDS","Ichino-Yaguchi","B_RE",0.0037454561072251,FALSE,TRUE,NA
"IMDS","Ichino-Yaguchi","Q_LC",0.0336434108527132,TRUE,TRUE,0.0184011933582765
"IMDS","Ichino-Yaguchi","B_LC",-0.000620155038759691,FALSE,TRUE,NA
"IMDS","Wasserstein","Q_TC",0.523906878228691,TRUE,FALSE,0.0411724117347926
"IMDS","Wasserstein","B_TC",0.00153831944880589,FALSE,FALSE,NA
"IMDS","Wasserstein","Q_RE",0.527723711470019,TRUE,FALSE,0.0540380570757001
"IMDS","Wasserstein","B_RE",0.00044547214142493,FALSE,FALSE,NA
"IMDS","Wasserstein","Q_LC",0.0316279069767442,TRUE,FALSE,0.0163538992003521
"IMDS","Wasserstein","B_LC",-0.00434108527131783,FALSE,FALSE,NA
"IMDS","Centers-Euclidean","Q_TC",0.517046739444988,TRUE,TRUE,0.0273564374550755
"IMDS","Centers-Euclidean","B_TC",-0.0173269298261818,TRUE,TRUE,NA
"IMDS","Centers-Euclidean","Q_RE",0.521852118531669,TRUE,TRUE,0.0422773492042339
"IMDS","Centers-Euclidean","B_RE",-0.0221664338370457,TRUE,TRUE,NA
"IMDS","Centers-Euclidean","Q_LC",0.0268217054263566,TRUE,TRUE,0.0114718900545326
"IMDS","Centers-Euclidean","B_LC",-0.00248062015503876,FALSE,TRUE,NA
"Int-UMAP","Int-Euclidean","Q_TC",0.688231708443394,TRUE,FALSE,0.372114350279614
"Int-UMAP","Int-Euclidean","B_TC",0.265963758612409,TRUE,FALSE,NA
"Int-UMAP","Int-Euclidean","Q_RE",0.673857170880385,TRUE,FALSE,0.346741067045476
"Int-UMAP","Int-Euclidean","B_RE",0.281687480777388,TRUE,FALSE,NA
"Int-UMAP","Int-Euclidean","Q_LC",0.0717829457364341,TRUE,FALSE,0.0571422981928447
"Int-UMAP","Int-Euclidean","B_LC",0.0243410852713178,FALSE,FALSE,NA
"Int-UMAP","Hausdorff","Q_TC",0.969526448331702,TRUE,FALSE,0.938627800495667
"Int-UMAP","Hausdorff","B_TC",0.00294709102215984,FALSE,FALSE,NA
"Int-UMAP","Hausdorff","Q_RE",0.973546292226119,TRUE,FALSE,0.947013641355523
"Int-UMAP","Hausdorff","B_RE",0.000743665009781826,FALSE,FALSE,NA
"Int-UMAP","Hausdorff","Q_LC",0.52077519379845,TRUE,FALSE,0.51321644291199
"Int-UMAP","Hausdorff","B_LC",0.00387596899224807,FALSE,FALSE,NA
"Int-UMAP","Ichino-Yaguchi","Q_TC",0.978473748699288,TRUE,FALSE,0.956647213170689
"Int-UMAP","Ichino-Yaguchi","B_TC",0.00369260702784913,FALSE,FALSE,NA
"Int-UMAP","Ichino-Yaguchi","Q_RE",0.98094962167869,TRUE,FALSE,0.961842393260179
"Int-UMAP","Ichino-Yaguchi","B_RE",0.0024406811918028,FALSE,FALSE,NA
"Int-UMAP","Ichino-Yaguchi","Q_LC",0.556124031007752,TRUE,FALSE,0.549122832758663
"Int-UMAP","Ichino-Yaguchi","B_LC",0.00790697674418603,TRUE,FALSE,NA
"Int-UMAP","Wasserstein","Q_TC",0.97636182278294,TRUE,FALSE,0.952393900656043
"Int-UMAP","Wasserstein","B_TC",-0.000913977501523888,FALSE,FALSE,NA
"Int-UMAP","Wasserstein","Q_RE",0.978580891292434,TRUE,FALSE,0.957097863727643
"Int-UMAP","Wasserstein","B_RE",-0.000939913808888748,FALSE,FALSE,NA
"Int-UMAP","Wasserstein","Q_LC",0.542635658914729,TRUE,FALSE,0.535421710317169
"Int-UMAP","Wasserstein","B_LC",0.00232558139534886,FALSE,FALSE,NA
"Int-UMAP","Centers-Euclidean","Q_TC",0.959056221561347,TRUE,FALSE,0.917541290685447
"Int-UMAP","Centers-Euclidean","B_TC",-0.00637838570047589,FALSE,FALSE,NA
"Int-UMAP","Centers-Euclidean","Q_RE",0.958983354899531,TRUE,FALSE,0.917844308016719
"Int-UMAP","Centers-Euclidean","B_RE",-0.0040414655560291,FALSE,FALSE,NA
"Int-UMAP","Centers-Euclidean","Q_LC",0.444806201550388,TRUE,FALSE,0.436049201574842
"Int-UMAP","Centers-Euclidean","B_LC",-0.000155038759689918,FALSE,FALSE,NA
