"family","rejections","rate","ci_lo","ci_hi","pass"
"TC",103,0.0515,0.0426445720150835,0.0620750824725766,TRUE
"RE",118,0.059,0.0494940607500394,0.070196836973613,TRUE
"LC",116,0.058,0.0485779129109954,0.0691168190478581,TRUE
