"IDR","Metric","col","value","star","qc","changed"
"MR-PCA","Int-Euclidean","Q_TC",0.981676413255361,TRUE,0.960814494147827,FALSE
"MR-PCA","Int-Euclidean","B_TC",0.00467836257309939,FALSE,NA,FALSE
"MR-PCA","Int-Euclidean","Q_RE",0.947706359016619,TRUE,0.892391768097983,FALSE
"MR-PCA","Int-Euclidean","B_RE",0.00661539165865496,FALSE,NA,FALSE
"MR-PCA","Int-Euclidean","Q_LC",0.837037037037037,TRUE,0.798236331569665,FALSE
"MR-PCA","Int-Euclidean","B_LC",0.0148148148148148,FALSE,NA,FALSE
"MR-PCA","Hausdorff","Q_TC",0.980116959064327,TRUE,0.957479557479557,FALSE
"MR-PCA","Hausdorff","B_TC",0,FALSE,NA,FALSE
"MR-PCA","Hausdorff","Q_RE",0.950836652474477,TRUE,0.898833188852021,FALSE
"MR-PCA","Hausdorff","B_RE",0.00660394634436662,FALSE,NA,FALSE
"MR-PCA","Hausdorff","Q_LC",0.814814814814815,TRUE,0.770723104056437,FALSE
"MR-PCA","Hausdorff","B_LC",0.0666666666666667,FALSE,NA,FALSE
"MR-PCA","Ichino-Yaguchi","Q_TC",0.98187134502924,TRUE,0.961231361231361,FALSE
"MR-PCA","Ichino-Yaguchi","B_TC",0.00194931773879148,FALSE,NA,FALSE
"MR-PCA","Ichino-Yaguchi","Q_RE",0.952547726960582,TRUE,0.90235418484006,FALSE
"MR-PCA","Ichino-Yaguchi","B_RE",0.0159089868607792,FALSE,NA,FALSE
"MR-PCA","Ichino-Yaguchi","Q_LC",0.837037037037037,TRUE,0.798236331569665,FALSE
"MR-PCA","Ichino-Yaguchi","B_LC",0.0962962962962963,FALSE,NA,FALSE
"MR-PCA","Wasserstein","Q_TC",0.979142300194932,TRUE,0.955395222061889,FALSE
"MR-PCA","Wasserstein","B_TC",0.000389863547758273,FALSE,NA,FALSE
"MR-PCA","Wasserstein","Q_RE",0.957211692533077,TRUE,0.911951548486388,FALSE
"MR-PCA","Wasserstein","B_RE",0.00697019640159319,FALSE,NA,FALSE
"MR-PCA","Wasserstein","Q_LC",0.814814814814815,TRUE,0.770723104056437,FALSE
"MR-PCA","Wasserstein","B_LC",0.0592592592592593,FALSE,NA,FALSE
"MR-PCA","Centers-Euclidean","Q_TC",0.978557504873294,TRUE,0.954144620811288,FALSE
"MR-PCA","Centers-Euclidean","B_TC",0.000779727095516658,FALSE,NA,FALSE
"MR-PCA","Centers-Euclidean","Q_RE",0.960673900105297,TRUE,0.919075971806669,FALSE
"MR-PCA","Centers-Euclidean","B_RE",0.0113537517740237,FALSE,NA,FALSE
"MR-PCA","Centers-Euclidean","Q_LC",0.807407407407407,TRUE,0.761552028218695,FALSE
"MR-PCA","Centers-Euclidean","B_LC",0.0962962962962963,TRUE,NA,FALSE
"SPCA","Int-Euclidean","Q_TC",0.982261208576998,TRUE,0.962065095398429,FALSE
"SPCA","Int-Euclidean","B_TC",0.00428849902534112,FALSE,NA,FALSE
"SPCA","Int-Euclidean","Q_RE",0.949074074074074,TRUE,0.895206209707151,FALSE
"SPCA","Int-Euclidean","B_RE",0.0100833218880191,FALSE,NA,FALSE
"SPCA","Int-Euclidean","Q_LC",0.837037037037037,TRUE,0.798236331569665,FALSE
"SPCA","Int-Euclidean","B_LC",0.00740740740740742,FALSE,NA,FALSE
"SPCA","Hausdorff","Q_TC",0.981481481481481,TRUE,0.960397627064294,FALSE
"SPCA","Hausdorff","B_TC",0.000389863547758273,FALSE,NA,FALSE
"SPCA","Hausdorff","Q_RE",0.952742297303484,TRUE,0.902754565654754,FALSE
"SPCA","Hausdorff","B_RE",0.0110561736025271,FALSE,NA,FALSE
"SPCA","Hausdorff","Q_LC",0.822222222222222,TRUE,0.77989417989418,FALSE
"SPCA","Hausdorff","B_LC",0.0814814814814815,FALSE,NA,FALSE
"SPCA","Ichino-Yaguchi","Q_TC",0.979337231968811,TRUE,0.955812089145423,FALSE
"SPCA","Ichino-Yaguchi","B_TC",-0.000779727095516547,FALSE,NA,FALSE
"SPCA","Ichino-Yaguchi","Q_RE",0.956221672847136,TRUE,0.909914316693978,FALSE
"SPCA","Ichino-Yaguchi","B_RE",0.00830929817332783,FALSE,NA,FALSE
"SPCA","Ichino-Yaguchi","Q_LC",0.814814814814815,TRUE,0.770723104056437,FALSE
"SPCA","Ichino-Yaguchi","B_LC",0.0740740740740741,FALSE,NA,FALSE
"SPCA","Wasserstein","Q_TC",0.979727095516569,TRUE,0.95664582331249,FALSE
