"scenario","Metric","index","K","tau.mean","tau.q025","tau.q975"
"IV","Hausdorff","B_RE",40,0.936,0.546666666666667,1
"I","Ichino-Yaguchi","B_RE",40,0.977142857142857,0.714285714285714,1
"II","Ichino-Yaguchi","B_RE",40,0.882666666666667,0.466666666666667,1
"III","Ichino-Yaguchi","B_RE",40,0.937142857142857,0.714285714285714,1
"IV","Ichino-Yaguchi","B_RE",40,0.856,0.493333333333333,1
"I","Int-Euclidean","B_RE",40,0.954285714285714,0.714285714285714,1
"II","Int-Euclidean","B_RE",40,0.92,0.733333333333333,1
"III","Int-Euclidean","B_RE",40,0.851428571428571,0.571428571428571,1
"IV","Int-Euclidean","B_RE",40,0.952,0.68,1
"I","Wasserstein","B_RE",40,0.988571428571428,0.885714285714286,1
"II","Wasserstein","B_RE",40,0.914666666666667,0.546666666666667,1
"III","Wasserstein","B_RE",40,0.977142857142857,0.8,1
"IV","Wasserstein","B_RE",40,0.904,0.546666666666667,1
"I","Centers-Euclidean","B_TC",40,0.74,0.5,1
"II","Centers-Euclidean","B_TC",40,0.594666666666667,0.2,1
"III","Centers-Euclidean","B_TC",40,0.68,0.333333333333333,1
"IV","Centers-Euclidean","B_TC",40,0.58353363634321,-0.2,1
"I","Hausdorff","B_TC",40,0.854175661133759,0.714285714285714,1
"II","Hausdorff","B_TC",40,0.589333333333333,0.2,1
"III","Hausdorff","B_TC",40,0.788571428571428,0.457142857142857,1
"IV","Hausdorff","B_TC",40,0.6,0.04,1
"I","Ichino-Yaguchi","B_TC",40,0.897142857142857,0.714285714285714,1
"II","Ichino-Yaguchi","B_TC",40,0.603977004656505,0.2,1
"III","Ichino-Yaguchi","B_TC",40,0.817142857142857,0.514285714285714,1
"IV","Ichino-Yaguchi","B_TC",40,0.749333333333333,0.28,1
"I","Int-Euclidean","B_TC",40,0.828571428571429,0.571428571428571,1
"II","Int-Euclidean","B_TC",40,0.648,0.333333333333333,1
"III","Int-Euclidean","B_TC",40,0.234285714285714,-0.914285714285714,1
"IV","Int-Euclidean","B_TC",40,0.338666666666667,-0.253333333333333,0.866666666666667
"I","Wasserstein","B_TC",40,0.885714285714286,0.714285714285714,1
"II","Wasserstein","B_TC",40,0.605333333333333,0.28,1
"III","Wasserstein","B_TC",40,0.862857142857143,0.657142857142857,1
"IV","Wasserstein","B_TC",40,0.710643671323172,0.28,1
"I","Centers-Euclidean","Q_LC",40,0.834641016151378,0.5,1
"II","Centers-Euclidean","Q_LC",40,0.443898163478809,-0.276026223736942,0.979655069847577
"III","Centers-Euclidean","Q_LC",40,0.729282032302755,0.333333333333333,1
"IV","Centers-Euclidean","Q_LC",40,0.546192801465971,-0.166666666666667,1
"I","Hausdorff","Q_LC",40,0.825604232562331,0.714285714285714,1
"II","Hausdorff","Q_LC",40,0.402614105881536,-0.276026223736942,1
"III","Hausdorff","Q_LC",40,0.933955554829849,0.714285714285714,1
"IV","Hausdorff","Q_LC",40,0.725193650067944,0.112380952380952,1
"I","Ichino-Yaguchi","Q_LC",40,0.859889946848045,0.714285714285714,1
