"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","Q_TC_spread","B_TC_spread","Q_RE_spread","B_RE_spread","Q_LC_spread","B_LC_spread","rep"
"C-PCA","Wasserstein",10,0.893770521382542,0.0814505916813123,0.894120785379691,0.0874908510997272,0.289333333333333,0.0535,3.5149384886024e-06,9.37316930282872e-06,8.4742601256238e-06,1.28004313275504e-05,0,0.000999999999999987,1
"C-PCA","Wasserstein",20,0.89226693877551,0.0701660358688931,0.887335000885628,0.0827366720437061,0.396333333333333,0.0828466666666667,3.09214594929053e-06,4.94743351886484e-06,6.70924553813901e-06,9.87984813906329e-06,0,0.000833333333333353,1
"C-PCA","Wasserstein",40,0.897399732080724,0.0576330201809325,0.879797815241342,0.0775634337112729,0.5185,0.0919166666666667,1.21781489226258e-06,1.73973556016893e-06,6.28919379896953e-06,8.90178909407346e-06,0,0.000583333333333325,1
"C-PCA","Wasserstein",5,0.895110182648402,0.0949599086757991,0.89932570727826,0.093055033590078,0.207333333333333,0.0292933333333333,5.70776255715e-06,1.1415525114189e-05,1.05814897753964e-05,1.91123032375895e-05,0,0.00133333333333334,1
"IMDS","Centers-Euclidean",10,0.538172489748096,-0.0395188283538372,0.535125445501219,-0.040675437863639,0.046,-0.00748666666666667,5.38957234915705e-05,0.000105448154657295,0.000423259357033912,0.000845456361168118,0,0.000333333333333335,1
"IMDS","Centers-Euclidean",20,0.537441255411255,-0.0265475943104515,0.53142300832552,-0.0355926052137063,0.0898333333333333,-0.00850333333333333,0.000104514533085909,0.000219542362399405,0.00034861562310784,0.000698293499846236,0,0.000333333333333331,1
"IMDS","Centers-Euclidean",40,0.534879819067502,-0.0148860681976339,0.524243221631987,-0.0308648014834376,0.151666666666667,-0.00758499999999999,2.31384829505465e-05,4.66249130133267e-05,0.000298101992108446,0.000598278596395385,0,0.000166666666666662,1
"IMDS","Centers-Euclidean",5,0.538300114155251,-0.0431163926940639,0.537531755132843,-0.042574629032655,0.0286666666666667,-0.00164,0.000126712328767042,0.000262557077625569,0.000530797056869314,0.0010638088441568,0,0.000666666666666668,1
"IMDS","Hausdorff",10,0.547637855887522,-0.0262925600468658,0.545948311327123,-0.0353224188854414,0.0486666666666667,-0.00366666666666667,8.96309314587507e-05,0.000181605155243125,0.000155128854042119,0.00032175629655179,0,0,1
"IMDS","Hausdorff",20,0.549271416202845,-0.0209994063079776,0.542401372198695,-0.0317067933269597,0.09,-0.00983333333333333,5.65862708720166e-05,9.83302411874387e-05,0.000126719426133515,0.000253147242826379,0,0,1
"IMDS","Hausdorff",40,0.550891969380654,-0.0110649826026444,0.536094711653747,-0.0275158044098759,0.159743333333333,-0.00607666666666666,0.000128218510786371,0.000253653444676316,0.000119617116820403,0.000239890271507393,0.000333333333333352,0.000333333333333324,1
"IMDS","Hausdorff",5,0.543068744292237,-0.0338782191780822,0.547222349911001,-0.0390782734945985,0.0273333333333333,-0.00266666666666667,0.000420091324200955,0.00081278538812779,0.000286848602669254,0.000588790183002341,0,0,1
"IMDS","Ichino-Yaguchi",10,0.54582755711775,-0.0348290568248389,0.545634450246959,-0.040424318762365,0.0433333333333333,-0.00366666666666667,0.000100175746924447,0.000181605155243014,7.98468738040237e-05,0.000165000906530932,0,0,1
"IMDS","Ichino-Yaguchi",20,0.547920884353742,-0.0241131354359926,0.542270564425742,-0.0354560447978251,0.09109,-0.00833,0.000122758194186834,0.000247990105132989,9.15807069563623e-05,0.000181284067626575,0.000166666666666662,0.000333333333333331,1
"IMDS","Ichino-Yaguchi",40,0.545231837160752,-0.0072864300626305,0.534706995517211,-0.0290055232721929,0.156666666666667,-0.00987,2.40083507307975e-05,5.28879610298683e-05,5.90048870600102e-05,0.000123294271561047,0,8.3333333333338e-05,1
"IMDS","Ichino-Yaguchi",5,0.547579315068493,-0.0406504109589041,0.549412888910763,-0.0435989648185972,0.0233333333333333,0.002,0.000110730593607333,0.000223744292237371,0.000117380712158943,0.000255432241553277,0,0,1
