"space","n_pairs","n_eligible","mean_dminus","sd_dminus","mean_dplus","sd_dplus","mean_ratio","sd_ratio","frac_dminus_zero"
"high",207690,207690,0.22509022471069,0.536369546934188,7.92488114589919,1.70558231664375,0.0226632708992793,0.0502725344070113,0.710005296355145
"C-PCA",207690,207690,0.0627995019183655,0.339335789453024,8.91992512633927,1.69536321327853,0.00517588969876347,0.0275146470701165,0.942471953392075
"V-PCA",207690,207690,0.0709437322471669,0.363292708613858,9.37799982635842,1.66482617399975,0.00578217612088588,0.0292226131677497,0.936684481679426
"MR-PCA",207690,207690,2.33206896846114,1.59096836921939,2.33615309898017,1.57134669060705,1.03505816422623,0.517678131410877,0.000688526168809283
"SPCA",207690,207690,0.0627995019183656,0.339335789453024,8.91992512633922,1.69536321327853,0.00517588969876349,0.0275146470701166,0.942471953392075
"IMDS",207690,207690,0.00334424366098223,0.00971757534965372,0.0403987726451322,0.133466227453116,0.144419853914595,0.257296038542185,0.554557272858587
"Int-UMAP",207690,207690,0,0,19.4064568992233,1.05362427968577,0,0,1
