"dataset","IDR","Metric","test","old_raw","new_raw","raw_delta","old_adj","new_adj","adj_delta","old_marker","new_marker","marker_flip"
"Face","V-PCA","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"Face","V-PCA","Wasserstein","B_RE",0.796,0.806,0.01,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","V-PCA","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","V-PCA","Wasserstein","B_LC",0.017,0.017,0,0.056,0.06,0.004,FALSE,FALSE,FALSE
"Face","V-PCA","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","V-PCA","Centers-Euclidean","B_TC",0.99,0.994,0.004,1,1,0,FALSE,FALSE,FALSE
"Face","V-PCA","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"Face","V-PCA","Centers-Euclidean","B_RE",0.787,0.798,0.011,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","V-PCA","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","V-PCA","Centers-Euclidean","B_LC",0.013,0.012,-0.000999999999999999,0.042,0.043,0.000999999999999994,TRUE,TRUE,FALSE
"Face","MR-PCA","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","MR-PCA","Int-Euclidean","B_TC",0.898,0.904,0.00600000000000001,1,1,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","MR-PCA","Int-Euclidean","B_RE",0.866,0.877,0.011,1,1,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Int-Euclidean","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","MR-PCA","Int-Euclidean","B_LC",0.791,0.789,-0.002,0.998,0.996,-0.002,FALSE,FALSE,FALSE
"Face","MR-PCA","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","MR-PCA","Hausdorff","B_TC",1,1,0,1,1,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","MR-PCA","Hausdorff","B_RE",0.875,0.885,0.01,1,1,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","MR-PCA","Hausdorff","B_LC",0.082,0.091,0.00899999999999999,0.261,0.292,0.031,FALSE,FALSE,FALSE
"Face","MR-PCA","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","MR-PCA","Ichino-Yaguchi","B_TC",0.958,0.957,-0.001,1,1,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","MR-PCA","Ichino-Yaguchi","B_RE",0.686,0.679,-0.00700000000000001,0.985,0.985,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","MR-PCA","Ichino-Yaguchi","B_LC",0.013,0.017,0.004,0.05,0.064,0.014,TRUE,FALSE,TRUE
"Face","MR-PCA","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","MR-PCA","Wasserstein","B_TC",0.996,0.996,0,1,1,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","MR-PCA","Wasserstein","B_RE",0.857,0.854,-0.003,1,1,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","MR-PCA","Wasserstein","B_LC",0.129,0.137,0.00800000000000001,0.377,0.405,0.028,FALSE,FALSE,FALSE
"Face","MR-PCA","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","MR-PCA","Centers-Euclidean","B_TC",0.973,0.98,0.00700000000000001,1,1,0,FALSE,FALSE,FALSE
"Face","MR-PCA","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","MR-PCA","Centers-Euclidean","B_RE",0.803,0.799,-0.004,0.998,1,0.002,FALSE,FALSE,FALSE
"Face","MR-PCA","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","MR-PCA","Centers-Euclidean","B_LC",0.01,0.011,0.000999999999999999,0.038,0.038,0,TRUE,TRUE,FALSE
"Face","SPCA","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","SPCA","Int-Euclidean","B_TC",0.919,0.915,-0.004,1,1,0,FALSE,FALSE,FALSE
"Face","SPCA","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Int-Euclidean","B_RE",0.82,0.81,-0.0099999999999999,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","SPCA","Int-Euclidean","Q_LC",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
