"dataset","IDR","Metric","test","old_raw","new_raw","raw_delta","old_adj","new_adj","adj_delta","old_marker","new_marker","marker_flip"
"USHCN","V-PCA","Hausdorff","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Ichino-Yaguchi","B_TC",0.623,0.623,0,0.998,0.998,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Ichino-Yaguchi","B_RE",0.767,0.767,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Ichino-Yaguchi","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Wasserstein","B_TC",0.607,0.607,0,0.997,0.997,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Wasserstein","B_RE",0.703,0.703,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Wasserstein","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Centers-Euclidean","B_TC",0.351,0.351,0,0.944,0.944,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Centers-Euclidean","B_RE",0.399,0.399,0,0.954,0.954,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Centers-Euclidean","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Int-Euclidean","B_TC",0.388,0.388,0,0.922,0.922,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Int-Euclidean","B_RE",0.43,0.43,0,0.956,0.956,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Int-Euclidean","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Int-Euclidean","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Hausdorff","B_TC",0.482,0.482,0,0.972,0.972,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Hausdorff","B_RE",0.636,0.636,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Hausdorff","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Ichino-Yaguchi","B_TC",0.235,0.235,0,0.758,0.759,0.001,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Ichino-Yaguchi","B_RE",0.489,0.489,0,0.972,0.972,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Ichino-Yaguchi","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Wasserstein","B_TC",0.42,0.42,0,0.95,0.95,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Wasserstein","B_RE",0.6,0.6,0,0.997,0.997,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Wasserstein","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Centers-Euclidean","B_TC",0.472,0.472,0,0.97,0.97,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Centers-Euclidean","B_RE",0.457,0.457,0,0.965,0.965,0,FALSE,FALSE,FALSE
"USHCN","MR-PCA","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","MR-PCA","Centers-Euclidean","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","SPCA","Int-Euclidean","B_TC",0.979,0.979,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"USHCN","SPCA","Int-Euclidean","B_RE",0.99,0.99,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Int-Euclidean","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Int-Euclidean","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","SPCA","Hausdorff","B_TC",0.665,0.665,0,0.998,0.998,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"USHCN","SPCA","Hausdorff","B_RE",0.739,0.739,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Hausdorff","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","SPCA","Ichino-Yaguchi","B_TC",0.603,0.603,0,0.998,0.998,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"USHCN","SPCA","Ichino-Yaguchi","B_RE",0.659,0.659,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Ichino-Yaguchi","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","SPCA","Wasserstein","B_TC",0.642,0.642,0,0.998,0.998,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"USHCN","SPCA","Wasserstein","B_RE",0.694,0.694,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Wasserstein","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","SPCA","Centers-Euclidean","B_TC",0.463,0.463,0,0.98,0.98,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"USHCN","SPCA","Centers-Euclidean","B_RE",0.485,0.485,0,0.977,0.977,0,FALSE,FALSE,FALSE
"USHCN","SPCA","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","SPCA","Centers-Euclidean","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","IMDS","Int-Euclidean","Q_TC",0.693,0.693,0,0.998,0.998,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Int-Euclidean","B_TC",0.658,0.658,0,0.997,0.997,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Int-Euclidean","Q_RE",0.456,0.456,0,0.969,0.969,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Int-Euclidean","B_RE",0.819,0.819,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Int-Euclidean","Q_LC",0.559,0.559,0,0.997,0.997,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Int-Euclidean","B_LC",1,1,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Hausdorff","B_TC",0.7,0.7,0,0.998,0.998,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Hausdorff","B_RE",0.903,0.903,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Hausdorff","B_LC",0.437,0.437,0,0.986,0.986,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Ichino-Yaguchi","B_TC",0.082,0.082,0,0.428,0.428,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Ichino-Yaguchi","B_RE",0.631,0.631,0,0.996,0.996,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Ichino-Yaguchi","B_LC",0.685,0.685,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Wasserstein","B_TC",0.811,0.811,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Wasserstein","B_RE",0.939,0.939,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","IMDS","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Wasserstein","B_LC",0.014,0.014,0,0.102,0.105,0.003,FALSE,FALSE,FALSE
"USHCN","IMDS","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Centers-Euclidean","B_TC",0.007,0.007,0,0.044,0.048,0.004,TRUE,TRUE,FALSE
"USHCN","IMDS","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Centers-Euclidean","B_RE",0.005,0.005,0,0.036,0.041,0.005,TRUE,TRUE,FALSE
"USHCN","IMDS","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.007,0.006,TRUE,TRUE,FALSE
"USHCN","IMDS","Centers-Euclidean","B_LC",0.111,0.111,0,0.596,0.601,0.005,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Int-Euclidean","B_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Int-Euclidean","B_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Int-Euclidean","Q_LC",0.005,0.005,0,0.031,0.035,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Int-Euclidean","B_LC",0.028,0.028,0,0.2,0.2,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Hausdorff","B_TC",0.662,0.662,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Hausdorff","B_RE",0.912,0.912,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Hausdorff","B_LC",0.023,0.023,0,0.164,0.167,0.003,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Ichino-Yaguchi","B_TC",0.568,0.568,0,0.994,0.994,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Ichino-Yaguchi","B_RE",0.786,0.786,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Ichino-Yaguchi","B_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Wasserstein","B_TC",0.91,0.91,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Wasserstein","B_RE",0.906,0.906,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Wasserstein","B_LC",0.126,0.126,0,0.609,0.613,0.004,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Centers-Euclidean","B_TC",0.324,0.324,0,0.889,0.889,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Centers-Euclidean","B_RE",0.639,0.639,0,0.998,0.998,0,FALSE,FALSE,FALSE
"USHCN","Int-UMAP","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","Int-UMAP","Centers-Euclidean","B_LC",0.961,0.961,0,1,1,0,FALSE,FALSE,FALSE
"Scenario1","C-PCA","Int-Euclidean","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Int-Euclidean","B_TC",NA,NA,0.019,0,0,0.114,FALSE,FALSE,FALSE
"Scenario1","C-PCA","Int-Euclidean","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Int-Euclidean","B_RE",NA,NA,0.009,0.28,0.36,0.063,FALSE,FALSE,FALSE
"Scenario1","C-PCA","Int-Euclidean","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Int-Euclidean","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Hausdorff","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Hausdorff","B_TC",NA,NA,0.004,1,1,0.022,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Hausdorff","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Hausdorff","B_RE",NA,NA,0.003,0.96,0.96,0.024,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Hausdorff","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Hausdorff","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Ichino-Yaguchi","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Ichino-Yaguchi","B_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Ichino-Yaguchi","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Ichino-Yaguchi","B_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Ichino-Yaguchi","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Ichino-Yaguchi","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Wasserstein","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Wasserstein","B_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Wasserstein","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Wasserstein","B_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Wasserstein","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Wasserstein","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Centers-Euclidean","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Centers-Euclidean","B_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Centers-Euclidean","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Centers-Euclidean","B_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Centers-Euclidean","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","C-PCA","Centers-Euclidean","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Int-Euclidean","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Int-Euclidean","B_TC",NA,NA,0.017,0,0,0.09,FALSE,FALSE,FALSE
"Scenario1","V-PCA","Int-Euclidean","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Int-Euclidean","B_RE",NA,NA,0.01,0.44,0.32,0.065,FALSE,FALSE,FALSE
"Scenario1","V-PCA","Int-Euclidean","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Int-Euclidean","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Hausdorff","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Hausdorff","B_TC",NA,NA,0.004,1,1,0.031,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Hausdorff","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Hausdorff","B_RE",NA,NA,0.004,1,0.96,0.033,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Hausdorff","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Hausdorff","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Ichino-Yaguchi","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Ichino-Yaguchi","B_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Ichino-Yaguchi","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Ichino-Yaguchi","B_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Ichino-Yaguchi","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Ichino-Yaguchi","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Wasserstein","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Wasserstein","B_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Wasserstein","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Wasserstein","B_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Wasserstein","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Wasserstein","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Centers-Euclidean","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Centers-Euclidean","B_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Centers-Euclidean","Q_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Centers-Euclidean","B_RE",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Centers-Euclidean","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","V-PCA","Centers-Euclidean","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Int-Euclidean","Q_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Int-Euclidean","B_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Int-Euclidean","Q_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Int-Euclidean","B_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Int-Euclidean","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Int-Euclidean","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Hausdorff","Q_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Hausdorff","B_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Hausdorff","Q_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Hausdorff","B_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Hausdorff","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Hausdorff","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Ichino-Yaguchi","Q_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Ichino-Yaguchi","B_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Ichino-Yaguchi","Q_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Ichino-Yaguchi","B_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Ichino-Yaguchi","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Ichino-Yaguchi","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Wasserstein","Q_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Wasserstein","B_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Wasserstein","Q_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Wasserstein","B_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Wasserstein","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Wasserstein","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Centers-Euclidean","Q_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Centers-Euclidean","B_TC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Centers-Euclidean","Q_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Centers-Euclidean","B_RE",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Centers-Euclidean","Q_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","MR-PCA","Centers-Euclidean","B_LC",NA,NA,0,1,1,0,TRUE,TRUE,FALSE
"Scenario1","SPCA","Int-Euclidean","Q_TC",NA,NA,0,1,1,0.002,TRUE,TRUE,FALSE
