"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Int-Euclidean",0.001,0.041,0.001,0.02,0.001,0.001,2,"raw"
"SPCA","Hausdorff",0.001,0.002,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"IMDS","Int-Euclidean",0.423,0.109,0.63,0.324,0.375,0.534,2,"raw"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.888,2,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.296,2,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.862,2,"raw"
"IMDS","Centers-Euclidean",0.23,0.312,0.254,0.607,0.157,0.261,2,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.004,0.001,0.018,0.001,0.52,2,"raw"
"Int-UMAP","Hausdorff",0.001,0.692,0.001,0.945,0.001,0.067,2,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.011,0.001,0.009,0.001,0.001,2,"raw"
"Int-UMAP","Wasserstein",0.001,0.226,0.001,0.116,0.001,0.017,2,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"C-PCA","Int-Euclidean",0.003,0.303,0.003,0.136,0.001,0.001,2,"minP"
"C-PCA","Hausdorff",0.003,0.011,0.003,0.009,0.001,0.001,2,"minP"
"C-PCA","Ichino-Yaguchi",0.003,0.003,0.003,0.003,0.001,0.001,2,"minP"
"C-PCA","Wasserstein",0.003,0.003,0.003,0.003,0.001,0.001,2,"minP"
"C-PCA","Centers-Euclidean",0.003,0.003,0.003,0.003,0.001,0.001,2,"minP"
"V-PCA","Int-Euclidean",0.003,0.288,0.003,0.156,0.001,0.001,2,"minP"
"V-PCA","Hausdorff",0.003,0.009,0.003,0.01,0.001,0.001,2,"minP"
"V-PCA","Ichino-Yaguchi",0.003,0.003,0.003,0.003,0.001,0.001,2,"minP"
"V-PCA","Wasserstein",0.003,0.003,0.003,0.003,0.001,0.001,2,"minP"
"V-PCA","Centers-Euclidean",0.003,0.003,0.003,0.003,0.001,0.001,2,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"SPCA","Int-Euclidean",0.003,0.266,0.002,0.138,0.001,0.001,2,"minP"
"SPCA","Hausdorff",0.003,0.011,0.002,0.002,0.001,0.001,2,"minP"
"SPCA","Ichino-Yaguchi",0.003,0.003,0.002,0.002,0.001,0.001,2,"minP"
"SPCA","Wasserstein",0.003,0.003,0.002,0.002,0.001,0.001,2,"minP"
"SPCA","Centers-Euclidean",0.003,0.003,0.002,0.002,0.001,0.001,2,"minP"
"IMDS","Int-Euclidean",0.965,0.515,0.996,0.913,0.971,0.997,2,"minP"
"IMDS","Hausdorff",0.005,0.005,0.005,0.005,0.007,1,2,"minP"
"IMDS","Ichino-Yaguchi",0.005,0.005,0.005,0.005,0.007,0.924,2,"minP"
"IMDS","Wasserstein",0.005,0.005,0.005,0.005,0.007,1,2,"minP"
"IMDS","Centers-Euclidean",0.814,0.891,0.833,0.994,0.712,0.892,2,"minP"
"Int-UMAP","Int-Euclidean",0.005,0.027,0.003,0.124,0.004,0.995,2,"minP"
"Int-UMAP","Hausdorff",0.005,0.999,0.003,1,0.004,0.392,2,"minP"
"Int-UMAP","Ichino-Yaguchi",0.005,0.07,0.003,0.064,0.004,0.004,2,"minP"
"Int-UMAP","Wasserstein",0.005,0.805,0.003,0.543,0.004,0.131,2,"minP"
"Int-UMAP","Centers-Euclidean",0.005,0.005,0.003,0.003,0.004,0.004,2,"minP"
"C-PCA","Int-Euclidean",0.001,0.045,0.001,0.012,0.001,0.001,3,"raw"
"C-PCA","Hausdorff",0.001,0.002,0.001,0.004,0.001,0.001,3,"raw"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"V-PCA","Int-Euclidean",0.001,0.041,0.001,0.011,0.001,0.001,3,"raw"
"V-PCA","Hausdorff",0.001,0.003,0.001,0.002,0.001,0.001,3,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Int-Euclidean",0.001,0.042,0.001,0.008,0.001,0.001,3,"raw"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"IMDS","Int-Euclidean",0.28,0.008,0.477,0.029,0.44,0.716,3,"raw"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.707,3,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.807,3,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.35,3,"raw"
"IMDS","Centers-Euclidean",0.914,0.615,0.652,0.47,0.14,0.374,3,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.002,0.001,0.01,0.001,0.787,3,"raw"
"Int-UMAP","Hausdorff",0.001,0.895,0.001,0.63,0.001,0.016,3,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.002,0.001,0.001,0.001,0.001,3,"raw"
"Int-UMAP","Wasserstein",0.001,0.212,0.001,0.074,0.001,0.001,3,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.773,3,"raw"
"C-PCA","Int-Euclidean",0.003,0.28,0.003,0.079,0.001,0.001,3,"minP"
"C-PCA","Hausdorff",0.003,0.011,0.003,0.024,0.001,0.001,3,"minP"
"C-PCA","Ichino-Yaguchi",0.003,0.003,0.003,0.003,0.001,0.001,3,"minP"
"C-PCA","Wasserstein",0.003,0.003,0.003,0.003,0.001,0.001,3,"minP"
"C-PCA","Centers-Euclidean",0.003,0.003,0.003,0.003,0.001,0.001,3,"minP"
"V-PCA","Int-Euclidean",0.003,0.248,0.003,0.077,0.001,0.001,3,"minP"
"V-PCA","Hausdorff",0.003,0.017,0.003,0.01,0.001,0.001,3,"minP"
"V-PCA","Ichino-Yaguchi",0.003,0.003,0.003,0.003,0.001,0.001,3,"minP"
"V-PCA","Wasserstein",0.003,0.003,0.003,0.003,0.001,0.001,3,"minP"
"V-PCA","Centers-Euclidean",0.003,0.003,0.003,0.003,0.001,0.001,3,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Int-Euclidean",0.002,0.261,0.002,0.054,0.001,0.001,3,"minP"
"SPCA","Hausdorff",0.002,0.002,0.002,0.002,0.001,0.001,3,"minP"
"SPCA","Ichino-Yaguchi",0.002,0.002,0.002,0.002,0.001,0.001,3,"minP"
"SPCA","Wasserstein",0.002,0.002,0.002,0.002,0.001,0.001,3,"minP"
"SPCA","Centers-Euclidean",0.002,0.002,0.002,0.002,0.001,0.001,3,"minP"
"IMDS","Int-Euclidean",0.872,0.057,0.98,0.188,0.989,1,3,"minP"
"IMDS","Hausdorff",0.005,0.005,0.005,0.005,0.008,1,3,"minP"
"IMDS","Ichino-Yaguchi",0.005,0.005,0.005,0.005,0.008,1,3,"minP"
"IMDS","Wasserstein",0.005,0.005,0.005,0.005,0.008,0.958,3,"minP"
"IMDS","Centers-Euclidean",1,0.999,0.999,0.979,0.672,0.963,3,"minP"
"Int-UMAP","Int-Euclidean",0.005,0.01,0.004,0.069,0.004,1,3,"minP"
"Int-UMAP","Hausdorff",0.005,1,0.004,0.999,0.004,0.119,3,"minP"
"Int-UMAP","Ichino-Yaguchi",0.005,0.01,0.004,0.004,0.004,0.004,3,"minP"
"Int-UMAP","Wasserstein",0.005,0.788,0.004,0.408,0.004,0.004,3,"minP"
"Int-UMAP","Centers-Euclidean",0.005,0.005,0.004,0.004,0.004,1,3,"minP"
"C-PCA","Int-Euclidean",0.001,0.013,0.001,0.005,0.001,0.001,4,"raw"
"C-PCA","Hausdorff",0.001,0.002,0.001,0.004,0.001,0.001,4,"raw"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Int-Euclidean",0.001,0.012,0.001,0.003,0.001,0.001,4,"raw"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Int-Euclidean",0.001,0.011,0.001,0.006,0.001,0.001,4,"raw"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"IMDS","Int-Euclidean",0.502,0.019,0.613,0.048,0.928,0.342,4,"raw"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.129,4,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.157,4,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.044,4,"raw"
"IMDS","Centers-Euclidean",0.663,0.438,0.372,0.024,0.259,0.495,4,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.024,0.001,0.151,0.001,0.002,4,"raw"
"Int-UMAP","Hausdorff",0.001,0.536,0.001,0.967,0.001,0.902,4,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.001,0.001,0.006,0.001,1,4,"raw"
"Int-UMAP","Wasserstein",0.001,0.371,0.001,0.27,0.001,0.001,4,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.011,4,"raw"
"C-PCA","Int-Euclidean",0.003,0.084,0.003,0.028,0.001,0.001,4,"minP"
"C-PCA","Hausdorff",0.003,0.009,0.003,0.021,0.001,0.001,4,"minP"
"C-PCA","Ichino-Yaguchi",0.003,0.003,0.003,0.003,0.001,0.001,4,"minP"
"C-PCA","Wasserstein",0.003,0.003,0.003,0.003,0.001,0.001,4,"minP"
"C-PCA","Centers-Euclidean",0.003,0.003,0.003,0.003,0.001,0.001,4,"minP"
"V-PCA","Int-Euclidean",0.002,0.082,0.002,0.017,0.001,0.001,4,"minP"
"V-PCA","Hausdorff",0.002,0.002,0.002,0.002,0.001,0.001,4,"minP"
"V-PCA","Ichino-Yaguchi",0.002,0.002,0.002,0.002,0.001,0.001,4,"minP"
"V-PCA","Wasserstein",0.002,0.002,0.002,0.002,0.001,0.001,4,"minP"
"V-PCA","Centers-Euclidean",0.002,0.002,0.002,0.002,0.001,0.001,4,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"SPCA","Int-Euclidean",0.002,0.078,0.002,0.037,0.001,0.001,4,"minP"
