"Method","Metric","index","old_mean_fmt","new_mean_fmt","old_sd_fmt","new_sd_fmt","mean_delta","replication_fidelity","display_changed"
"IMDS","Int-Euclidean","Q_LC","0.051","0.051","6","6",2.66666666666471e-06,4.44089209850063e-16,FALSE
"IMDS","Int-Euclidean","B_LC","-0.001","-0.001","4","4",6.00000000000015e-07,4.44089209850063e-16,FALSE
"IMDS","Wasserstein","Q_TC","0.549","0.549","12","12",-3.14352665453654e-07,3.33066907387547e-16,FALSE
"IMDS","Wasserstein","B_TC","-0.043","-0.043","18","18",-6.37609841827591e-07,3.33066907387547e-16,FALSE
"IMDS","Wasserstein","Q_RE","0.549","0.549","13","13",8.54905468195e-07,3.33066907387547e-16,FALSE
"IMDS","Wasserstein","B_RE","-0.053","-0.053","19","19",1.73590613098545e-06,3.33066907387547e-16,FALSE
"IMDS","Wasserstein","Q_LC","0.056","0.056","7","7",0,3.33066907387547e-16,FALSE
"IMDS","Wasserstein","B_LC","-0.001","-0.001","4","4",2.00000000000005e-07,3.33066907387547e-16,FALSE
"Int-UMAP","Centers-Euclidean","Q_TC","0.798","0.798","31","31",1.52314005852361e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Centers-Euclidean","B_TC","0.034","0.034","29","29",1.28881077962606e-08,4.44089209850063e-16,FALSE
"Int-UMAP","Centers-Euclidean","Q_RE","0.819","0.819","27","27",4.18754331210636e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Centers-Euclidean","B_RE","0.044","0.044","29","29",-5.51778727569951e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Centers-Euclidean","Q_LC","0.294","0.294","29","29",0,4.44089209850063e-16,FALSE
"Int-UMAP","Centers-Euclidean","B_LC","0.017","0.017","12","12",5.99999999999906e-07,4.44089209850063e-16,FALSE
"Int-UMAP","Hausdorff","Q_TC","0.806","0.806","30","30",-1.52313994750131e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Hausdorff","B_TC","0.026","0.026","24","24",8.20152313771305e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Hausdorff","Q_RE","0.832","0.832","24","24",-3.03415359503845e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Hausdorff","B_RE","0.024","0.024","22","22",1.78082278090574e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Hausdorff","Q_LC","0.304","0.304","25","25",0,4.44089209850063e-16,FALSE
"Int-UMAP","Hausdorff","B_LC","0.000","0.000","10","10",1.93333333333296e-06,4.44089209850063e-16,FALSE
"Int-UMAP","Ichino-Yaguchi","Q_TC","0.811","0.811","29","29",-1.17164622448485e-09,3.33066907387547e-16,FALSE
"Int-UMAP","Ichino-Yaguchi","B_TC","0.020","0.020","26","26",5.15524311781035e-09,3.33066907387547e-16,FALSE
"Int-UMAP","Ichino-Yaguchi","Q_RE","0.838","0.838","23","23",5.66485869324396e-09,3.33066907387547e-16,FALSE
"Int-UMAP","Ichino-Yaguchi","B_RE","0.024","0.024","24","24",-1.17650978057049e-08,3.33066907387547e-16,FALSE
"Int-UMAP","Ichino-Yaguchi","Q_LC","0.319","0.319","25","25",0,3.33066907387547e-16,FALSE
"Int-UMAP","Ichino-Yaguchi","B_LC","0.002","0.002","13","13",5.33333333332985e-07,3.33066907387547e-16,FALSE
"Int-UMAP","Int-Euclidean","Q_TC","0.787","0.787","35","35",2.10896311525488e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Int-Euclidean","B_TC","0.036","0.036","37","37",0,4.44089209850063e-16,FALSE
"Int-UMAP","Int-Euclidean","Q_RE","0.799","0.799","33","33",1.96274307917577e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Int-Euclidean","B_RE","0.052","0.052","38","38",-2.37862656654597e-09,4.44089209850063e-16,FALSE
"Int-UMAP","Int-Euclidean","Q_LC","0.283","0.283","31","31",3.33333333324415e-07,4.44089209850063e-16,FALSE
"Int-UMAP","Int-Euclidean","B_LC","0.019","0.019","11","11",-7.99999999998718e-07,4.44089209850063e-16,FALSE
"Int-UMAP","Wasserstein","Q_TC","0.806","0.806","30","30",-1.75746928121612e-09,3.33066907387547e-16,FALSE
