"family","rejections","rate","ci_lo","ci_hi","pass"
"TC",135,0.0675,0.0573128896459989,0.0793454170784448,FALSE
"RE",140,0.07,0.0596223997514783,0.0820263213849628,FALSE
"LC",140,0.07,0.0596223997514783,0.0820263213849628,FALSE
