"scenario","replication","Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","max_abs_mean_delta","pre_max_spread","post_max_spread","replication_fidelity"
"ScenarioII",26,"IMDS","Int-Euclidean",0.586249521988528,-0.0750732950924156,0.589554246823619,-0.0814383090224627,0.036,-0.000125,0.586249521988528,-0.0750732950924156,0.589554246823619,-0.0814383090224627,0.036,-0.000125,0,0,0,2.22044604925031e-16
"ScenarioII",26,"IMDS","Hausdorff",0.638466618865519,-0.0426808476736774,0.646995769928969,-0.0512974810897917,0.057375,-0.002375,0.638466618865519,-0.0426808476736774,0.646995769928969,-0.0512974810897917,0.057375,-0.002375,0,0,0,4.44089209850063e-16
"ScenarioII",26,"IMDS","Ichino-Yaguchi",0.643756771829191,-0.0415954429572976,0.65111333686383,-0.0515319488650293,0.056875,-0.002125,0.643756771829191,-0.0415954429572976,0.65111333686383,-0.0515319488650293,0.056875,-0.002125,0,0,0,4.44089209850063e-16
"ScenarioII",26,"IMDS","Wasserstein",0.634057839388145,-0.0610946462715105,0.641349751253075,-0.0670839992998715,0.05675,-0.000875000000000001,0.634057876035692,-0.0610945729764181,0.641349771852616,-0.0670839581007889,0.05675,-0.000875000000000001,7.32950923842957e-08,0,1.59337157357164e-07,3.33066907387547e-16
"ScenarioII",26,"IMDS","Centers-Euclidean",0.617827278521351,-0.0762609942638623,0.626139633585765,-0.0908261810702242,0.0475,-0.003375,0.617827278521351,-0.0762609942638623,0.626139633585765,-0.0908261810702242,0.0475,-0.003375,0,0,0,2.22044604925031e-16
"ScenarioII",27,"IMDS","Int-Euclidean",0.576222195666029,-0.0643857552581262,0.579547397369502,-0.0801507749948351,0.036,-0.003,0.576222195666029,-0.0643857552581262,0.579547397369502,-0.0801507749948351,0.036,-0.003,0,0,0,4.44089209850063e-16
"ScenarioII",27,"IMDS","Hausdorff",0.614437619502868,-0.0232021988527724,0.623881468362602,-0.0431531308487983,0.048625,-0.003875,0.614437619502868,-0.0232021988527724,0.623881468362602,-0.0431531308487983,0.048625,-0.003875,0,0,0,3.33066907387547e-16
"ScenarioII",27,"IMDS","Ichino-Yaguchi",0.624846000637349,-0.0245954429572977,0.633441450644437,-0.0453157508784446,0.05275,0.0015,0.624846000637349,-0.0245954429572977,0.633441450644437,-0.0453157508784446,0.05275,0.0015,0,0,0,3.33066907387547e-16
"ScenarioII",27,"IMDS","Wasserstein",0.615973231357553,-0.0443661567877629,0.622674763971052,-0.0662870412166541,0.052375,0.001375,0.615973231357553,-0.0443661567877629,0.622674763971052,-0.0662870412166541,0.052375,0.001375,0,0,0,4.44089209850063e-16
"ScenarioII",27,"IMDS","Centers-Euclidean",0.613730879541109,-0.0812488846398981,0.618818889365706,-0.104971157869937,0.05,-0.002,0.613730879541109,-0.0812488846398981,0.618818889365706,-0.104971157869937,0.05,-0.002,0,0,0,4.85722573273506e-16
"ScenarioII",28,"IMDS","Int-Euclidean",0.593223789037604,-0.0767716698534099,0.601454919908301,-0.0833755229426006,0.0385,0.00275,0.593223631293818,-0.0767719853409816,0.601454852735884,-0.0833756572874353,0.0385,0.00275,3.15487571692086e-07,0,6.37348629761725e-07,4.44089209850063e-16
"ScenarioII",28,"IMDS","Hausdorff",0.637317797960484,-0.0379249521988527,0.647528289503651,-0.0443023393828599,0.053875,0.00225,0.637317797960484,-0.0379249521988527,0.647528289503651,-0.0443023393828599,0.053875,0.00225,0,0,0,3.33066907387547e-16
"ScenarioII",28,"IMDS","Ichino-Yaguchi",0.644744662205226,-0.0395900254939452,0.6551855058002,-0.046120455327485,0.055125,0.003375,0.644744620777565,-0.039590108349267,0.655185477856474,-0.0461205112149363,0.055125,0.003375,8.28553218257255e-08,0,1.59337157357164e-07,3.33066907387547e-16
"ScenarioII",28,"IMDS","Wasserstein",0.635081819630338,-0.0571295411089866,0.646289615519584,-0.0627863024906594,0.054875,0.00275,0.635081819630338,-0.0571295411089866,0.646289615519584,-0.0627863024906594,0.054875,0.00275,0,0,0,4.44089209850063e-16
"ScenarioII",28,"IMDS","Centers-Euclidean",0.625204907584449,-0.0832065009560229,0.636793017450669,-0.0894599092408946,0.052125,-0.002875,0.625204808795411,-0.0832066985340982,0.636792954756413,-0.0894600346294071,0.052125,-0.002875,1.97578075261662e-07,0,4.7801147240456e-07,2.22044604925031e-16
"ScenarioII",29,"IMDS","Int-Euclidean",0.58236201402167,-0.0640732950924154,0.590585264636294,-0.0751793066390573,0.0355,0.000750000000000001,0.582362249840663,-0.0640728234544295,0.590585624680451,-0.0751785865507428,0.0355,0.000750000000000001,7.20088314462575e-07,0,1.47779318265817e-06,1.11022302462516e-16
"ScenarioII",29,"IMDS","Hausdorff",0.623313017845762,-0.0113000318674314,0.635922843671573,-0.0254459301703697,0.054125,-0.00325,0.623313084767368,-0.0112998980242192,0.635922881288127,-0.0254458549372622,0.054125,-0.00325,1.33843212240733e-07,0,3.18674314825351e-07,4.44089209850063e-16
"ScenarioII",29,"IMDS","Ichino-Yaguchi",0.630164037603569,0.000630178457616259,0.641997375243122,-0.0115405684722783,0.055125,-0.00775,0.630163994582537,0.000630092415551227,0.641997351061051,-0.0115406168364188,0.055125,-0.00775,8.60420650328252e-08,0,1.59337157468187e-07,4.44089209850063e-16
"ScenarioII",29,"IMDS","Wasserstein",0.621055449330784,-0.0276328871892926,0.632910332307707,-0.0410954467166208,0.053875,-0.00425,0.621055487571702,-0.027632810707457,0.632910350732141,-0.0410954098677518,0.053875,-0.00425,7.64818355834807e-08,0,1.59337157468187e-07,4.44089209850063e-16
"ScenarioII",29,"IMDS","Centers-Euclidean",0.612215583173996,-0.053353091140854,0.622574892020872,-0.0579303459562887,0.048875,-0.0025,0.612215618228171,-0.0533530210325047,0.622574911724781,-0.0579303065484705,0.048875,-0.0025,7.01083492857246e-08,0,1.59337157468187e-07,1.11022302462516e-16
"ScenarioII",30,"IMDS","Int-Euclidean",0.55823079987253,-0.0342174952198853,0.571174327712857,-0.0540389215752005,0.034875,-0.000750000000000001,0.55823079987253,-0.0342174952198853,0.571174327712857,-0.0540389215752005,0.034875,-0.000750000000000001,0,0,0,3.33066907387547e-16
"ScenarioII",30,"IMDS","Hausdorff",0.593546287444232,0.00251577437858508,0.610677872689205,-0.0207943571245667,0.044625,0.002,0.593546287444232,0.00251577437858508,0.610677872689205,-0.0207943571245667,0.044625,0.002,0,0,0,2.22044604925031e-16
"ScenarioII",30,"IMDS","Ichino-Yaguchi",0.601697817080943,0.0131311344805609,0.61672672819063,-0.00419812596205832,0.047375,-0.000125,0.601697817080943,0.0131311344805609,0.61672672819063,-0.00419812596205832,0.047375,-0.000125,0,0,0,2.22044604925031e-16
"ScenarioII",30,"IMDS","Wasserstein",0.595484783301466,-0.0121607711918419,0.612720023039926,-0.0374763431540688,0.046625,-0.001875,0.595484783301466,-0.0121607711918419,0.612720023039926,-0.0374763431540688,0.046625,-0.001875,0,0,0,1.11022302462516e-16
