"scenario","replication","Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","max_abs_mean_delta","pre_max_spread","post_max_spread","replication_fidelity"
"ScenarioII",51,"IMDS","Int-Euclidean",0.553378664754621,-0.0229647864882091,0.562412347458904,-0.0372890470490112,0.033625,-0.003625,0.553378503824092,-0.0229651083492671,0.562412192245838,-0.0372893574751428,0.033625,-0.003625,3.21861057969025e-07,0,9.13544876524064e-07,3.33066907387547e-16
"ScenarioII",51,"IMDS","Hausdorff",0.579449729126832,0.0040600701083493,0.589183050552383,-0.0046578872530379,0.042375,-0.003,0.579449730720204,0.00406007329509245,0.589183081003879,-0.00465782635004613,0.042375,-0.003,6.09029917686757e-08,0,3.18674314936374e-07,3.33066907387547e-16
"ScenarioII",51,"IMDS","Ichino-Yaguchi",0.581529796048438,0.012968132568515,0.591934064280122,0.00268603262387312,0.04225,-0.00625,0.581529824729127,0.0129681899298917,0.591934084431848,0.00268607292732358,0.04225,-0.00625,5.73613766399056e-08,0,4.78011472293538e-07,4.44089209850063e-16
"ScenarioII",51,"IMDS","Wasserstein",0.575129780114723,-0.00466140854047159,0.586231269237967,-0.0126790174777939,0.04325,-0.003875,0.575129810388783,-0.00466134799235177,0.586231265638378,-0.0126790246769711,0.04325,-0.003875,6.05481198156718e-08,0,6.37348629761725e-07,2.22044604925031e-16
"ScenarioII",51,"IMDS","Centers-Euclidean",0.570297801147228,-0.0214206500956022,0.579865016814002,-0.0266187125977583,0.04475,-0.002875,0.570297761312938,-0.021420729764181,0.579865000020898,-0.026618746183967,0.04475,-0.002875,7.96685787340934e-08,0,1.59337157468187e-07,4.44089209850063e-16
"ScenarioII",52,"IMDS","Int-Euclidean",0.588024856596558,-0.0888463989802422,0.586449662440477,-0.0947084776793948,0.04025,-0.002875,0.588024816762269,-0.0888464786488209,0.58644963557151,-0.0947085314173287,0.04025,-0.002875,7.96685787340934e-08,0,1.59337157468187e-07,3.33066907387547e-16
"ScenarioII",52,"IMDS","Hausdorff",0.632184193753983,-0.0464356277884003,0.642228005980606,-0.0670391974299278,0.05575,-0.00325,0.632184193753983,-0.0464356277884003,0.642228005980606,-0.0670391974299278,0.05575,-0.00325,0,0,0,4.44089209850063e-16
"ScenarioII",52,"IMDS","Ichino-Yaguchi",0.641338671128107,-0.0451696940726577,0.64871097783677,-0.0567199224518964,0.05575,-0.001,0.641338671128107,-0.0451696940726577,0.64871097783677,-0.0567199224518964,0.05575,-0.001,0,0,0,4.16333634234434e-17
"ScenarioII",52,"IMDS","Wasserstein",0.631046287444232,-0.0652499999999999,0.637934035214724,-0.0851426880755183,0.056,-0.001875,0.63104635595921,-0.0652498629700446,0.637934097013348,-0.0851425644782704,0.056,-0.001875,1.37029955327161e-07,0,3.18674314714329e-07,4.16333634234434e-17
"ScenarioII",52,"IMDS","Centers-Euclidean",0.621201242829828,-0.0832361376673041,0.624082456765273,-0.0957966925922343,0.05525,-0.0045,0.621201242829828,-0.0832361376673041,0.624082456765273,-0.0957966925922343,0.05525,-0.0045,0,0,0,2.22044604925031e-16
