"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","rep","dr_input","eval_geom"
"C-PCA","Int-Euclidean",0.917808078393881,0.118429732313575,0.918305032527657,0.129113382306504,0.349,0.10075,FALSE,0,1,"raw","std"
"C-PCA","Hausdorff",0.917617351816444,0.11689850223072,0.917595370865101,0.12887944359402,0.349,0.09175,FALSE,0,1,"raw","std"
"C-PCA","Ichino-Yaguchi",0.917763463989802,0.117623804971319,0.918343210450885,0.128216372293677,0.349375,0.09525,FALSE,0,1,"raw","std"
"C-PCA","Wasserstein",0.917726019757808,0.117695825366475,0.918389829921145,0.12810409605033,0.349375,0.094125,FALSE,0,1,"raw","std"
"C-PCA","Centers-Euclidean",0.917750876354366,0.117644518801785,0.918259731236121,0.128356462609231,0.34925,0.0945,FALSE,0,1,"raw","std"
"V-PCA","Int-Euclidean",0.917834289356278,0.118380815806246,0.918255736076629,0.129214907764381,0.349125,0.10125,FALSE,0,1,"raw","std"
"V-PCA","Hausdorff",0.917608986615679,0.11691586998088,0.917628615454074,0.128814825434454,0.349,0.09175,FALSE,0,1,"raw","std"
"V-PCA","Ichino-Yaguchi",0.91772522307202,0.117701561504143,0.918273391866738,0.128353151115676,0.34925,0.095125,FALSE,0,1,"raw","std"
"V-PCA","Wasserstein",0.917688973868706,0.117770235818993,0.918353611619916,0.128172587179562,0.34925,0.094,FALSE,0,1,"raw","std"
"V-PCA","Centers-Euclidean",0.917712635436584,0.117722275334608,0.918145530876196,0.12858319489418,0.349125,0.094375,FALSE,0,1,"raw","std"
"MR-PCA","Int-Euclidean",0.916902326322498,0.121301784576163,0.91773923840297,0.131206498716005,0.3595,0.104125,FALSE,0,1,"raw","std"
"MR-PCA","Hausdorff",0.915974665391969,0.121074569789675,0.91707634836153,0.130660949504937,0.354,0.092625,FALSE,0,1,"raw","std"
"MR-PCA","Ichino-Yaguchi",0.916502310388783,0.120710484384959,0.917363651294717,0.130664854674714,0.35525,0.095125,FALSE,0,1,"raw","std"
"MR-PCA","Wasserstein",0.916626673040153,0.120474824729127,0.917482954092792,0.130430656442129,0.356375,0.094875,FALSE,0,1,"raw","std"
"MR-PCA","Centers-Euclidean",0.916532106437221,0.12066459528362,0.917356568656352,0.130659596673775,0.355875,0.09425,FALSE,0,1,"raw","std"
