"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"IMDS","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.559,2,"raw"
"IMDS","Hausdorff",0.001,0.004,0.001,0.001,0.001,0.001,2,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.067,0.001,0.003,0.001,0.001,2,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.036,0.001,0.001,2,"raw"
"Int-UMAP","Hausdorff",0.001,0.011,0.001,0.157,0.001,0.001,2,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.002,0.001,0.115,0.001,0.001,2,"raw"
"Int-UMAP","Wasserstein",0.001,0.005,0.001,0.119,0.001,0.001,2,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.003,0.001,0.075,0.001,0.001,2,"raw"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"IMDS","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.993,2,"minP"
"IMDS","Hausdorff",0.001,0.024,0.001,0.001,0.001,0.001,2,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.323,0.001,0.014,0.001,0.001,2,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.096,0.001,0.001,2,"minP"
"Int-UMAP","Hausdorff",0.001,0.024,0.001,0.364,0.001,0.001,2,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.005,0.001,0.275,0.001,0.001,2,"minP"
"Int-UMAP","Wasserstein",0.001,0.013,0.001,0.283,0.001,0.001,2,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.008,0.001,0.192,0.001,0.001,2,"minP"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"IMDS","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.429,3,"raw"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.482,3,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.026,3,"raw"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.002,0.001,0.001,3,"raw"
"Int-UMAP","Hausdorff",0.001,0.001,0.001,0.005,0.001,0.001,3,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.001,0.001,0.003,0.001,0.001,3,"raw"
"Int-UMAP","Wasserstein",0.001,0.001,0.001,0.002,0.001,0.001,3,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"raw"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"IMDS","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.966,3,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.98,3,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.169,3,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.005,0.001,0.001,3,"minP"
"Int-UMAP","Hausdorff",0.001,0.001,0.001,0.017,0.001,0.001,3,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.001,0.001,0.011,0.001,0.001,3,"minP"
"Int-UMAP","Wasserstein",0.001,0.001,0.001,0.005,0.001,0.001,3,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,3,"minP"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
